سأخبرك.	I will tell you...
! أنا	Oh, it's me.
هناك شخص ما هنا	There's somebody in here.
هو هنا في مكان ما	He's in here somewhere.
أنا هنا!	Here I am!
( بنوكيو )	Pinocchio.
كيف نزلت هنا؟	How did you get down here?
.	- I fell down.
‫ -حقاً.	- Oh, you did.
أنت تتكلم !	You're talking!
أنت مضحك	Gee, you're funny.
.قولي مجدداً	Do it again!
ـ ضمير ـ ويوما ما	- A conscience!
نعم جميلة	Yeah, cute.
هذا يتطلب الاحتفال	This calls for a celebration.
موسيقى	Music!
تبدأ أنت واحدة يا ( بنوكيو )	You start one, Pinocchio.
ربّاه	Oh, boy.
أتهتم إذا قاطعتك ؟	Mind if I cut in?
أوه لطيف. Ooh, nice.	Ooh, nice.
-انظر !	- Look!
النجدة !	Help!
أيها الرجل الصغير كانت ليلتك مشغولة	Little man, you've had a busy night.
الآن، أغلق عيونك وأذهب للنوم	Now, close your eyes and go to sleep.
لماذا ؟	Why?
لماذا ؟	Why?
لماذا ؟	Why?
لان.	- Because.
قف ساكنا الآن.	Stand still now.
-ما هذه ؟	- What are those?
-نعم	- Yes.
‫لكن أوّلاً يجب الإسراع.	But hurry now.
إذهبِ...	Run along now.
المدرسة ليست لك	School is not for you.
عقول صغيرة عطشى إلى منابع المعرفة	Thirsty little minds rushing to the fountain of knowledge.
المدرسة , مؤسسة نبيلة	School, a noble institution.
شيء مثل هذا يساوي ثروة لو شخص ما استغله	A thing like that ought to be worth a fortune to someone.
الآن دعني أرى	Now let me see.
هذاكلشيء!	That's it!
أنصتوا - !	- Listen.
لا ، لا، يا غبي	No, no, stupid.
لا تكون فظ	Don't be crude.
الآن, (كويني) دعيني أتولى هذا	Let me handle this.
ها قَد أتى	Here he comes.
هذه صحيح سوف اعطيك 5000 دولار	Oh, I'm terribly sorry.
؟ - أنا بخير.	- I'm all right.
-أوه, رائع	- Oh, splendid.
أنظر يا ( جيدي ) ، رجل رسائل	Look, Giddy, a man of letters.
-هذا هو كتابك	- Here's your book.
-ذاهب للمدرسة	- I'm going to school.
كلية اليس كذلك؟	School.
أوه، نعم.	Ah, yes.
- أبداً لا تشربها	- No?
-بوبي فايم)" )"	- Fame?
-ما اسمك ؟	- What is your name?
# حياة الممثل بالنسبة لي #	Hi diddle dee dee An actor's life for me
# حياة الممثل بهجة #	Hi diddle dee day An actor's life is gay
ماذا قلت؟	- What was that?
من أين ؟	Up where?
لماذا ، لأنه ليس هناك شيء تخاف منه فوق	Why, there's nothing up there to be afraid of.
هنا!	Over here.
‫ها هو ذا.	- Well, that's him.
‫الرجل الصادق "أونست جون"؟	Honest John?
آه، هناك أنت!	Ah, there you are!
الان , اين كنا ؟	Now, where were we?
أيها السيدات والسادة في ختام هذا العرض الكبير	Ladies and gentlemen, to conclude the performance of this great show,
‫	I hope so.
‫إنه "بينوكيو"، الشخصية الفريدة!	The one and only Pinocchio!
طفل لطيف	Cute kid.
‫أريد أن يعرف العالم أجمع ‫أنه لا يوجد شيء يقلقني	I want the world to know Nothing ever worries me
# ليس هناك خيوط علي #	There are no strings on me
ما حاجة ممثل لضمير على أية حال؟	What does an actor want with a conscience anyway?
ما يمكن أن يكون حدث إليه؟	What could have happened to him?
أين يمكن أن يكون في هذه الساعة؟	Where could he be at this hour?
من الأفضل أن أخرج ثانية وأبحث عنه	I'd better go out again and look for him.
ـ أحسنت يا ( بنوكيو ) !	- Bravo, Pinocchio!
-إنهما يحباني	- They like me.
أنت هائل	You are colossal!
وجهك ، سيكون على لسان كل شخص	Your face, she will be on everybody's tongue.
-هل حقاً ستكون ؟	- Will she?
ما هذا ؟	What's this?
من أجلك يا بونكيوي الصغير	For you, my little Pinocchio.
بالنسبة لي ؟	For me?
شكرا لكن ...	Gee, thanks!
أنا سأركض صوب البيت وأخبر أبي	I'll run right home and tell my father.
المنزل؟	Home?
- سارجع في الصباحِ.	- I'll be back in the morning.
أذهب إلى المنزل	Going home.
مونت كارلو	Monte Carlo.
- لا، لا!	- No, no!
-نعم	- Yes!
أنت ستكسبني الكثير من المال	You will make lots of money... for me!
هدوء من فضلك	Quiet!
لا , لا , انتظر	No! No, wait!
علي طول أمشي	Get along there.
أنا سأخرج من حياته بهدوء	I'll just go out of his life quietly.
بالتأكيد, ولم لا ؟	Sure! Why not?
ماذا حدث؟	What's happened?
هكذا ؟	Oh, is that so?
هذا ما قلته	That's what I said.
موديله قديم	Must be one of the old models.
تعني، ليس بالإمكان فتحه ؟	You mean, you can't open it?
نعم	Yeah.
أحسب أني لن أرى أبي ثانية	Guess I'll never see my father again.
هيا ، أنفخ	Come on, blow.
شاطر! هيا!	Thatta boy.
ذلك النجم ثانية	Hey, that star again!
ماذا أخبرها ؟	- What'll I tell her?
يجب أن تقول لها الحقيقة	- You might tell her the truth.
( بنوكيو ) لماذا لم تذهب إلى المدرسة؟	Pinocchio, why didn't you go to school?
-المدرسة؟	- School?
هيّا، أخبروها	- Go ahead, tell her.
أنا كنت ذاهب للمدرسة حتى قابلت شخص ما	I was going to school 'til I met somebody.
ـ قابلت شخص ما ؟	- Met somebody?
ألم تكن خائفاً؟ !	- Weren't you afraid?
- لا!	- No!
‎لقد فعلتها يا صديقي ‏	- Yeah!
-كيف هربت ؟	- How did you escape?
-لم أفعل ذلك	- I didn't.
ماذا حدث؟	What's happened?
# حياة الممثل بالنسبة لي #	Hi diddle dee dee An actor's life for me
# حياة الممثل بهجة #	Hi diddle dee day An actor's life is gay
كما تري ...	You see--
الأولاد الصغار الأغبياء؟	- Stupid little boys?
-لا يا سيدي	- No, sir.
- الافضل لك	- You'd better.
! حسناً، الآن نستطيع أن نكمل حديثنا	Now you're talkin'!
أوه, مرحباً .	Oh, hello.
-حقاً ؟	- He did?
حفظ الله روحي.	Bless my soul.
! - اذهب بحذر يا حبيبي!	- I knew it!
-لا شيء	- Nothing.
ـ حساسية؟	- Allergic?
فيجزيرةالسرور ـ جزيرة السرور ؟	- Pleasure Island?
سأعطيك تذكرتي	I'm giving you my ticket.
-هنـا	- Here.
# هي جزيرة السرور لي #	Hi diddle dee dee It's Pleasure Isle for me
إذاً، ها نحنُ نذهب مُجدّداً.	Well, here we go again.
ما هو ثمنك؟ ثمني؟	What's yours?
( بنوكيو )	Pinocchio.
خذ كعكتك ، فطيرتك مخللات وآيس كريم	Get your cake, pie, dill pickles and ice cream.
لماذا؟	- Why?
أغلقوا الأبواب واقفلوها جيدا يصبح الآن تحت ويحصل عليهم صناديق جاهزة	Now get below and get them crates ready.
أعط الولد السيئ حبل كافي وهو قريبا يصنع حمار لنفسه	Give a bad boy enough rope and he'll soon make a jackass of himself.
‫اين الجميع؟	Where is everybody?
( بنوكيو )	Pinocchio!
أين أنت ؟	Hey, where are you?
‎لقد فعلناها ‏	Yeah!
انه لكذلك	It sure is!
هيه، بعض المرح , يا ولد ؟	Some fun, huh, kid?
( بنوكيو )	Pinocchio!
كيف أذا تتوقع أن تصبح ولد حقيقي؟	How do you ever expect to be a real boy?
أنظر إلى نفسك	Look at yourself.
آآه!	Ow!
دعني	Put me down!
ماذا؟	What?
جندب ؟	Grasshopper?
‫ - أقرب صديق لك؟‬ ‫	- Your best friend?
حسناً هذا يثبت أنها...	Okay, that settles it.
من أين جاءت كل الحمير ؟	Where'd all the donkeys come from?
وما اسمك؟	And what's your name?
-لا تخافي!	In you go!
أنتم يا أولاد ستجلبون مبلغ جيد	You boys'll bring a nice price.
حسنا ، الذي بعده	All right, next!
( ألكساندر )	- Alexander.
- اخـرس !	- Quiet!
‫فتية؟‬	"Boys"?
ها	Ha!
الضمير	Conscience.
بالتأكيد	You sure do!
تضحك مثل الحمار	Hey, you laugh like a donkey.
‫هل كان صوتي مرتفعاً؟	Did that come out of me?
أمي !	Mama!
أرجو أن لا أكون قد تأخرت	- I hope I'm not too late.
‫ماذا سأفعل؟‬	What'll I do?
وأنت كذلك!	Oh, you too!
أقفز	You gotta jump!
‫	Sure.
اعتقدت ، أننا لن نفعلها	I thought we'd never make it.
تعال، دعنا نصل إلى البيت	Come on, let's get home.
ربما يكون نائم	Hey, maybe he's asleep.
بينوك ، تعال هنا	Pinoke, come here.
انظـر.	Look.
إنه ليس هنا	He ain't here.
لا تقلق يا بني من المحتمل أن لا يكون ذهب بعيدا	Don't worry, son, he probably hasn't gone far.
- It's a message.	- It's a message.
-ماذا تقول؟	- What's it say?
ـ أنها عن أبيك	- It's about your father.
-أيـن هو؟	- Where is he?
لا تكن لئيماً إلى أين تذهب؟	Where you going?
أنا لا أمزح، سأبحث عنه	I'm going to find him.
قد أكون طعما حيا تحت هناك لكن أنا معك	I may be live bait down there, but I'm with ya.
هيا بنا ، دعنا ندخل .	Come on, let's go.
احذروا في الأسفل	Look out below!
الممر ، هناك	Gangway, down there.
حسناً, الوداع	Well, so long.
أبي!	Father!
انتظرني يا بينوك	Hey, Pinoke, wait for me!
أبي!	Father!
أبي!	Father!
...مهلاً، ماذا	Hey, what the--
هذا أخافهما.	That got 'em.
أبي!	Father!
أوه, مرحباً .	Oh, hello.
توقف الآن.	Break it up now.
...مهلاً، ماذا	Hey, what the--
هل أي أحد منك يمكن أن يخبرني أين أجد ( مونسترو )؟	Could any of you tell me where to find Monstro?
ولا غمزة صنارة واحدة منذ أيام	Not a bite for days.
نحن لن نستطيع الصمود طويلا	We can't hold out much longer.
كان ولدا جيد	He was such a good boy.
( لا أمل يا ( فيجارو	It's hopeless, Figaro.
لم تتبقي أي سمكة	There isn't a fish left.
ها هم	Here they come!
( أبقهم هناك يا ( فيجارو	Keep them in there, Figaro!
أنت!	Hey!
أوصلنا إلى الخروج من هنا	We got to get out of here!
لم أرى مثل هذا العدد من قبل	Never saw so many!
‫لماذا؟	Here's another one!
يكفينا لأسابيع	Enough for weeks!
هذه واحدة كبيرة	Here's a big one.
( أبقهم هناك يا ( فيجارو	Keep them in there, Figaro!
؟ ـ هذه واحدة أخرى	- Here's another one.
يا أبي	Hey, Father!
-أبى	- Father!
-أبى	- Father!
دعني أزل قبعتك منه أوه!	Let me take your hat.
( بنوكيو )	Pinocchio!
تلك الآذان	- Those ears!
- هاه؟	- Huh?
ماذا حدث لك؟	What's happened to you?
‏توقف عن ذلك!‏	Hey! Cut it out!
قارب؟	- A raft?
لا لا لا لا	No, no, no, no.
(لا عليك يا (مو لن نحتاج إليها	We won't need it.
حسنا، كان هذا مُنتَظرا	Well, it's about time!
-لن يجدي هذا العمل !	- It won't work!
تشبثوا	Hang on!
يرحمك الله	Gesundheit.
ـ سوف نعود!	- We're going back!
لقد فعلناها	We made it!
ألم أخبرك أنه سيهتاج	I told you he'd be furious!
-لقد إختفى !	- He's gone!
-أين ذهب ؟	- Where did he go?
انتبه!	Look out!
تشبثوا	Hang on!
أنه عائد ...	He's coming back.
لنرجع للخلف	Let's go back!
انتبه!	Look out!
اقفز	Jump!
ابتى، ابتى	Father! Father!
ولدى	My boy.
صدقك وعدم أنانيتك ـ ويوما ما ستكون ولد حقيقي ـ ولد حقيقي	Prove yourself brave, truthful and unselfish, and someday you will be a real boy.
أبي!	Father!
كلا ، أنا لا أفعل ذلك .	No, I'm not.
Yes, yes, you are.	Yes, yes, you are.
الآن ، استلق	Now, lie down.
-أنا حقيقية	- I'm real.
أَنا a ولد حقيقي!	I'm a real boy!
أنت على قيد الحياة!	You're alive!
هذا يدعو إلى احتفال	This calls for a celebration!
أستاذ ، كثير من الموسيقى	Professor, lots of music!
شكراً لكِ ، سيدتي	Thank you, milady.
لقد أستحق أن يكون ولد حقيقي	He deserved to be a real boy.
-حسنا،أنا سأكون ...	- Well, I'll be!
لي	My, my!
استيقظ !	Wake up.
‫ - ماذا الان؟	- What now?
ماذا يحدث هنا؟	What's going on around here?
-شكرا جزيلا	- Wake up.
ماذا‎ -‏ ‏‎.‎ لقد حدث ذلك‎	- It's happened.
تعالَ.	- Come on.
-من الأفضل أن تسرعِ	You better hurry up.
حسناً أنظروا	Well, look.
- حسنا.	- Well.
- أليس لطيف؟	- Isn't he cute?
أنتي ستهنئين	You're to be congratulated.
-أجل, تهانينا	- Yes, congratulations.
- تهانينا.	- Congratulations.
شكراً لك	Thank you very much.
انظـر.	Look.
- (أليك)، (فرانكي) هنا... ‫	He's trying to get up.
ثمبر	Thumper.
حسناً هو كذلك	Well, he is.
صحيح؟	Aren't you?
هيا..	Come on.
ثمبر	Thumper.
صباح الخير	- Good morning.
وداعاً	Goodbye.
صباح الخير	Good morning.
-مـا الخطب؟	- What's the matter?
-ماذا حدث ؟	- What happened?
كيف حاله ؟	- Is he hurt?
ثمبر	Thumper.
هيا إنهض ، إنهض	Come on, get up. Get up.
-قم	- Get up.
-حاول مجددًا -مرة أخرى ؟	- Try again.
ثمبر	Thumper!
هيا..	Come on.
يمكنك أن تفعل ذلك.	You can do it.
هكذا	Like this.
طائر	Bird.
طائر	Bird.
طائر	Bird.
لقد تكلم	He talked.
طائر	Bird.
فراشة؟	Butterfly?
.... فرا .	Butter...
فراشة	Butterfly.
- إنه جميل.	- It's pretty.
جميل	Pretty.
زهرة	Flower.
أنا ؟	Me?
- ... إنه	- He's a little...
- هذا صحيح سأتي.	- That's all right.
لا أبالي	I don't mind.
جميل	Pretty.
يا الهي.	Gosh.
مرعي؟	Meadow?
-أين سمعتِ ذلك؟	- Where did you hear that?
حسنًا ، إنه على حق.	Well, he's right.
ربما.	Perhaps.
أسكت الآن	Hush now.
لقد وصلنا تقريباً	We're almost there.
-انتظر	- Wait.
انتظر هنا	Wait here.
كل شيء على ما يرام.	It's all right.
هيا..	Come on.
‎ما هذا الازعاج ‏	Hello.
إنه لذيذ	It's delicious.
هذه هي المادة الجيدة	That's the good stuff.
ثمبر	Thumper.
-نعم يا أمى	- Yes, Mama?
ما الذى اخبرك به والدك؟	- What did your father tell you?
ماذا؟	About what?
نعم ، هذه الواحدة	Oh, that one.
مرحباً، بامبي	Hello, Bambi.
أنا قلت مرحباً	I said hello.
لست خائفاً أليس كذلك ؟	You're not afraid, are you?
هيا قل مرحباً	Go on, say hello.
‎ما هذا الازعاج ‏	Hello.
أجل	You.
‎سيتم اختياره غداً ‏	Yes, I know.
بامبي	Bambi.
امى .	Mother.
بامبي	Bambi.
امى .	Mother.
هيا..	Come on.
إنه آمن الآن	It's safe now.
امي تنظر.	Mother, look.
-ثلج؟	- Snow?
-نعم	- Yes.
هيا..	Come on.
كل شيء على ما يرام.	It's all right.
انظـر.	Look.
هيا، انهض	Come on, get up.
هكذا	Like this.
استيقظ !	Wake up.
لماذا تريد أن تفعل هذا ؟	What do you want to do that for?
ليلة سعيدة	Well, good night.
لكنه لن يدوم إلى الأبد	But it won't last forever.
‎سيتم اختياره غداً ‏	Yes, I know.
انظـر.	Look.
بامبي	Bambi.
بسرعة	Quick.
أسرع	Faster.
أسرع، بامبي	Faster, Bambi.
لا تنظر للخلف	Don't look back.
إستمر في الركض	Keep running.
إستمر في الركض	Keep running.
التذكرة. لقد لحقنا بِها.	We made it.
نحن...	We...
امى .	Mother.
أمي، أين أنتي؟	Mother, where are you?
أمك لا يمكنها أن تكون معك أكثر من هذا	Your mother can't be with you anymore.
تعالَ.	Come.
بُنيّ	My son.
مهلا.	Wait.
ماذا الآن؟	What now?
مرحبا.	Hey.
ابتعدي	Scat.
هـاك.	There.
ما الفائدة ؟	Oh, what's the use?
‎اضرب هذا الوغد .	Stop it.
!	Get out of here.
من أنتم؟	All of you.
وأنت أيضاً	And you, too.
بامبي	Bambi!
مرحباً، بامبي	Hello, Bambi.
‫ - مرحبًا. ‫	Remember me?
ثمبر	Thumper.
صحيح	Right.
مرحبا يا ديفيد.	Hi, fellas.
زهرة	Flower.
نعم	Yeah.
وبعد ذلك تعرف ماذا؟	And then you know what?
شنيعة!	- Terrible.
هذا يمكنه أن يحدث إلى أي شخص	It can happen to anybody.
-ولا أنا	- Me neither.
-ولا أنا	- Me neither.
تغريد	Twitterpated.
مرحباً، بامبي	Hello, Bambi.
ألا تذكرينني ؟	Don't you remember me?
بامبي	Bambi.
"وأنت"	And you
عجل.	Hurry.
اتبعنى	Follow me.
اسمعـوا.	Listen.
-إنه قادم -حقاً ؟	- He's coming.
صمتاً.	- Hush.
توقفوا واهدأوا	Be quiet.
-اهدأ	- Be calm.
-يا الهى -لا تتحمس	Don't get excited.
-لا .	- No.
-لقد وصل تقريباً. ‫	He's almost here.
لم أعد أحتمل	I can't stand it any longer.
بامبي	Bambi.
‎أبقيني بصحة و عافية	Get up.
يجب أن تنهض	You must get up.
‎أبقيني بصحة و عافية	Get up.
‎أبقيني بصحة و عافية	Get up.
الآن تعالي معي	Now, come with me.
بامبي	Bambi.
استيقظ !	Wake up.
ماذا الآن؟	What now?
ماذا‎ -‏ ‏‎.‎ لقد حدث ذلك‎	- It's happened.
‫ - حدث؟	- Happened?
حسناً	Oh. Well.
انظـر.	Look.
اثنين منهم.	Two of them.
- من يكون (أبولوني)؟‬ ‫ - (أبولوني)!‬	An old friend of mine.
-أوه ، لم أكن أعرف	- Oh, I didn't know.
‎إنه من أفضل النوادي في إنجلترا ‏	- Thank you.
- نعم؟	- Yes?
"إيثيل "	Ethel.
إن هذا الشئ يجعلنى أتوتر	Makes me nervous.
تعال هنا !	Here!
لا أعلم.	I don't know.
ثم ماذا حدث ؟	Then what happened?
دعوني أخرج !	What's going on here?
إنها على الإسطوانة	It's on the record.
-أنا يا سيدى	- I did, sir.
لماذا؟	- Why?
أنا	I ...
قلت لك لم يكن ينبغي القدوم الى هنا!	I told you we shouldn't have come here!
-اصمت!	- Shut up!
أى نوع من الرجال هو	What kind of a man is he?
من يعرفه ؟	Who knows him?
- سبق القول!	- I told you!
نعم	Yes, sir.
غريب جدا	Very peculiar.
-لقد تم استئجارى	- I was hired.
ممن ؟	- By whom?
-هل رأيته ؟	- You saw him?
-لا .	- No.
غير معروف	Unknown
هذا كذب	That's a lie!
الآن أتذكر.	Now I remember.
-ماذا حدث ؟	- What happened?
إننى أوافق تماماً يا سيدى	I quite agree, sir.
-لا يا سيدي	- No, sir.
رائع	It's wonderful!
حقاً	Really!
- هاه؟	- Huh?
‎يجب ان اعرف عنه المزيد ‏	What did you say?
-إنه لا يتحرك	- He's not moving.
-ماذا قال الدكتور ؟	- What did the doctor say?
-ميت	- Dead.
ماذا؟	What?
لا تلمسه	Don't touch!
سائل حلاقة جديد	Smell it.
-انتحار ؟	- Suicide?
دكتـور!	Doctor!
صباح الخير يا جنرال	Good morning, General.
صباح الخير	Good morning.
‎واحد.‏	- What?
-إننى لا أفهم	- I don't understand it.
‫ - ثمانية.	- Eight.
ـ ماذا عن الإفطار ؟	What about breakfast?
‎واحد.‏	- What?
‎واحد.‏	- What?
-زوجته	- His wife.
ماذا ؟	- Eh?
-الزوجة	- Wife?
فأننى لا أصدق ذلك	I don't believe it!
خذ وقتك	Take your time!
ماذا ؟	- Got what?
-أنـا أيضاً	- Me too.
اخلعها حالا	Immediately.
أتسمعين ذلك ؟	Do you hear that?
و كذلك نحن	So are we.
سير جون	Sir John!
-لا أحد	- Nobody!
لا أفهم هذا	I don't understand it.
أجل	That's right.
-إننى أعرف أين يكون	- I know where he is.
ما الذى حدث يا رجل ؟	What is it, man?
-لقد كنت أتوقع ذلك	- I was expecting that.
واضح تماما	Perfectly clear.
هل يجب عليك ذلك ؟	Do you have to do that?
-من؟	- Who?
أي وعد؟	Which one?
-إننا لا نخرجها	- We don't.
-هذا ما كنت أفكر به	- That's what I was thinking.
-ما الذى نعرفه عنه ؟	- What do we know about him?
هذا واقع	That's a fact.
لا افهم لماذا	I don't see why.
شكراً	Thank you.
بمن تشك؟	Whom do you suspect?
لا يمكنك أن تفعل ذلك	You can't do that!
إن الوقت سيبين	Time will tell.
ما رأيكم ! ؟	What about it?
لا شكراً	No, thank you.
الكثرة جميلة	The more the merrier.
-نعم سيدى	- Yes, sir?
شكراً	Thank you.
-هل أخبرته ؟	- Have you told him?
نعم سيدي	- Yes, sir.
لا، إنتظري!	No wait!
افتح	Open up!
أفتح الباب	Open the door!
- أنا راجع للمنزل .	- What for?
اسرعـوا!	Hurry up!
انها تمطر	It's raining!
لا تقلق بشأنى يا سيدى	Don't worry about me, sir.
لا يهمّ.	Never mind.
‎يا إلهي ‏	- Good night.
‎يا إلهي ‏	- Good night.
‎يا إلهي ‏	- Good night.
- تصبح على خير يا سيدي.	- Good night, sir.
إنها ليست هنا	She's not here!
ما المشكلة في هذا الأمر؟	What's wrong with that?
انظـر.	Look.
ما هذا؟	- What's that?
-أيـن هو؟	- Where is he?
"روجرز "	Rogers!
"روجرز "	Rogers!
-إنه ليس هناك -روجرز ""	- He's not there.
لقد كان مخموراً و لم يكن ليفتح	He got drunk.
لقد فـارق الحيـاة	He's dead.
-لا .	- No.
‎واحد.‏	- What?
-واحد ، اثنان ، ثلاثة ، أربعة ، خمسة ، ستة	- One. Two. Three.
أدركت ذلك!	I get it!
لا ، لم أفهم	No I don't.
-لا لماذا؟	No, why?
ماذا حدث للصبى ؟ إننى لم أره مرة أخرى	What happened to the boy?
أنا حصلت عليها!	I got it!
-من؟	- Who?
‫ - "روجرز".	- Rogers.
لقد تسلل إلى الداخل و أخذ الهندى الأخير	Fact.
تتطلب بعض التدريب	It takes practice.
بالطبع	Of course.
"لومبارد "	Lombard!
-ما الذى تفعله هنا ؟ -لقد ناديتنى ، أليس كذلك ؟	- What you doing here?
-لماذا ؟	- Why is that?
ماذا عن امرأة؟	How about a woman?
انها هي!	It's her!
كيف نعرف ذلك؟	How do we know?
لم يطلب أحد مني	Nobody asked me.
لقد أمسكت به	I've got him!
اعرف أين توجد.	I know where it is.
-إنه ليس هنا	- It's not here!
-لا	- Don't.
إنه ليس هنا.	It's not here.
-ما الذي فعلته به ؟	- What did you do with it?
-ما الذي فعلته به ؟	- What did you do with it?
و ماذا عنكِ ... ؟	What about yourself?
لماذا ؟	Why not?
سوف أفعل	I shall.
لا أعلم.	I don't know.
-فيرا	- Vera?
-أين هى ؟	- Don't come any closer!
-أين هي؟	- Where is she?
لن أتفوه بكلمة	I won't say a word.
لا تقترب	Don't come any closer!
لا تقلق .	- Don't worry about me.
- هيا!	- Come on!
لا تُزعجينى	Don't bother me.
أدركت ذلك!	I get it!
- ابقوا حيث أنتم	- Stay where you are!
-ولم لا ؟	- Why not?
-من؟	- Who?
فهمت.	I see!
-الآن ؟	- Now?
هذا كل شيء	That's all.
