Les diré...	I will tell you...
"Ahí viene.	Here he comes.
Lo siento muchísimo.	Oh, I'm terribly sorry.
- Estoy bien.	- I'm all right.
- Oh, estupendamente.	- Oh, splendid.
Mira, Giddy, un hombre de letras.	Look, Giddy, a man of letters.
- Toma tu libro.	- Here's your book.
- Voy a la escuela.	- I'm going to school.
Quizás no en el colegio... pero hay otras cosas...	School.
Ah, sí.	Ah, yes.
- ¿No?	- No?
- ¿Fama?	- Fame?
- ¿Cómo te llamas?	- What is your name?
Hi diddle dee dee Vida de actor para mí	Hi diddle dee dee An actor's life for me
Hi diddle dee day La vida del actor es alegre	Hi diddle dee day An actor's life is gay
- ¿Qué era?	- What was that?
¿Allí, dónde?	Up where?
No hay nada que temer.	Why, there's nothing up there to be afraid of.
Aquí.	Over here.
- Bueno, ves ahí.	- Well, that's him.
¿El Honrado Juan?	Honest John?
- ¡Por fin apareció!	Ah, there you are!
Bien, sigamos.	Now, where were we?
Damas y caballeros, como número final de este grandioso espectáculo...	Ladies and gentlemen, to conclude the performance of this great show,
- Hola, Penélope.	I hope so.
¡El único e inigualable Pinocho!	The one and only Pinocchio!
Bonita chica.	Cute kid.
Viva la libertad Esto se llama vivir	I want the world to know Nothing ever worries me
No tengo más hilos	There are no strings on me
¿Para que querría conciencia un actor?	What does an actor want with a conscience anyway?
¿Qué le habrá pasado?	What could have happened to him?
¿Dónde andará a esta hora?	Where could he be at this hour?
Será mejor que salga a buscarlo.	I'd better go out again and look for him.
- ¡Bravo, Pinocho!	- Bravo, Pinocchio!
- Les gusto. - Nunca se sabe.	- They like me.
¡Eres colosal!	You are colossal!
Estarás en boca de todos.	Your face, she will be on everybody's tongue.
- ¿Lo será?	- Will she?
¿Qué pasa?	What's this?
Para ti, Pinocho.	For you, my little Pinocchio.
Pero, ¿no corres mucho riesgo?	For me?
- ¡Gracias!	Gee, thanks!
Iré a casa a contarle a mi padre.	I'll run right home and tell my father.
¿A casa?	Home?
- Regresaré por la mañana.	- I'll be back in the morning.
Me voy a casa.	Going home.
Monte Carlo.	Monte Carlo.
- No, no!	- No, no!
-- ¡Sí!	- Yes!
Harás mucho dinero... ¡Para mí!	You will make lots of money... for me!
-- ¡Silencio!	Quiet!
¡No, no, espera!	No! No, wait!
Vamos.	Get along there.
Me iré de su vida silbando bajito.	I'll just go out of his life quietly.
Claro. ¿Por qué, si no?	Sure! Why not?
¿Qué pasó?	What's happened?
¿De verdad?	Oh, is that so?
Eso he dicho.	That's what I said.
Debe ser un modelo antiguo.	Must be one of the old models.
¿No podrás abrirla?	You mean, you can't open it?
Sí.	Yeah.
Creo que nunca volveré a ver a mi padre.	Guess I'll never see my father again.
Anda, sopla.	Come on, blow.
Lindo chico.	Thatta boy.
¡Mira, la estrella!	Hey, that star again!
- ¿Qué le diré?	- What'll I tell her?
- Debes decirle la verdad.	- You might tell her the truth.
Pinocho, ¿por que no has ido a la escuela?	Pinocchio, why didn't you go to school?
- ¿Escuela?	- School?
- Vamos, díganselo.	- Go ahead, tell her.
Estaba camino a la escuela cuando conocí a alguien.	I was going to school 'til I met somebody.
- ¡Eran dos monstruos enormes... de ojos verdes! - ¿A quién conociste?	- Met somebody?
-¿No tuviste miedo?	- Weren't you afraid?
-- ¡No!	- No!
- ¡Sí!	- Yeah!
- ¿Y cómo escapó?	- How did you escape?
- No lo hice.	- I didn't.
¿Qué pasó?	What's happened?
Hi diddle dee dee Vida de actor para mí	Hi diddle dee dee An actor's life for me
Hi diddle dee day La vida del actor es alegre	Hi diddle dee day An actor's life is gay
Verá,...	You see--
- ¿Niños estúpidos?	- Stupid little boys?
No, señor.	- No, sir.
- Más te vale.	- You'd better.
¡Así se habla!	Now you're talkin'!
- No sabía que estarías aquí.	Oh, hello.
- ¿En serio?	- He did?
¡Dios mío!	Bless my soul.
Lo sabía.	- I knew it!
- Nada.	- Nothing.
- ¿Alérgico?	- Allergic?
- ¿La Isla del Placer?	- Pleasure Island?
Yo te daré mi boleto.	I'm giving you my ticket.
Toma.	- Here.
Hi diddle dee dee La Isla del Placer para mí	Hi diddle dee dee It's Pleasure Isle for me
Bueno, allá vamos de nuevo.	Well, here we go again.
¿Y Ud.?	What's yours?
Pinocho.	Pinocchio.
Hay torta, pastel y helados.	Get your cake, pie, dill pickles and ice cream.
¿Por qué?	- Why?
Bajen y empáquenlos.	Now get below and get them crates ready.
Dale a un chico malo la cuerda suficiente y muy pronto hará el ridículo.	Give a bad boy enough rope and he'll soon make a jackass of himself.
¿Dónde está todo el mundo?	Where is everybody?
¡Pinocho!	Pinocchio!
Eh, ¿dónde estáis?	Hey, where are you?
¡Sí!	Yeah!
¡Claro que lo es!	It sure is!
¿Te diviertes, muchacho?	Some fun, huh, kid?
¡Pinocho!	Pinocchio!
¿Cómo esperas ser un niño de verdad?	How do you ever expect to be a real boy?
Mírese.	Look at yourself.
¡Ay!	Ow!
- ¡Bájeme!	Put me down!
¿Qué?	What?
¿Insecto?	Grasshopper?
- ¡Su mejor amigo?	- Your best friend?
De acuerdo, fin del asunto.	Okay, that settles it.
¿De dónde vienen todos estos tontos?	Where'd all the donkeys come from?
¿Y cuál es su nombre?	And what's your name?
Entra.	In you go!
Muchachos, cobraré un buen precio.	You boys'll bring a nice price.
¡El que sigue!	All right, next!
- Alejandro.	- Alexander.
- ¡Tranquilo!	- Quiet!
¿"Chicos"?	"Boys"?
Le diré qué haré.	Ha!
No, espere.	Conscience.
¡Seguro que lo sabes!	You sure do!
Te ríes como un burro.	Hey, you laugh like a donkey.
¿Eso dije yo?	Did that come out of me?
¡Mamá!	Mama!
- Espero que no sea demasiado tarde.	- I hope I'm not too late.
¿Qué hago?	What'll I do?
¡Tú también!	Oh, you too!
¡Tienes que saltar!	You gotta jump!
Seguro.	Sure.
- Esto me parece un sueño.	I thought we'd never make it.
Vámonos, a casa.	Come on, let's get home.
Tal vez esté dormido.	Hey, maybe he's asleep.
Pinoque, ven aquí.	Pinoke, come here.
Mira	Look.
¿Y conoce al señor Moore?	He ain't here.
No te preocupes, hijo. No creo que haya ido lejos.	Don't worry, son, he probably hasn't gone far.
- ¿De Dios?	- It's a message.
- ¿Qué dice?	- What's it say?
- De tu padre.	- It's about your father.
- ¿Dónde está?	- Where is he?
¿A dónde vas?	Where you going?
Lo encontraré.	I'm going to find him.
Puedo estar enfurecido, pero estoy contigo.	I may be live bait down there, but I'm with ya.
Anda, vámonos.	Come on, let's go.
¡Mira debajo!	Look out below!
Cuidado, allí abajo.	Gangway, down there.
Bueno, hasta luego.	Well, so long.
¡Padre!	Father!
¡Pinoque! ¡Espérame!	Hey, Pinoke, wait for me!
¡Padre!	Father!
¡Padre!	Father!
¡Oye!	Hey, what the--
Muy bien.	That got 'em.
¡Padre!	Father!
- No sabía que estarías aquí.	Oh, hello.
Basta ya.	Break it up now.
¡Oye!	Hey, what the--
¿Alguien podría decirme dónde encontrar a Monstro?	Could any of you tell me where to find Monstro?
No hemos probado ni un bocado por días.	Not a bite for days.
No podemos resistir más.	We can't hold out much longer.
Era un niño tan bueno.	He was such a good boy.
No hay nada que hacer, Fígaro.	It's hopeless, Figaro.
No queda ni un pescadito.	There isn't a fish left.
Ya vienen.	Here they come!
¡Mantenlos allí, Fígaro!	Keep them in there, Figaro!
¡Oye!	Hey!
¡Tenemos que sacarlo de aquí!	We got to get out of here!
¡Nunca había visto tantos!	Never saw so many!
¡Aquí hay otro!	Here's another one!
¡Hay para toda la semana!	Enough for weeks!
¡Aquí hay uno grande!	Here's a big one.
¡Mantenlos allí, Fígaro!	Keep them in there, Figaro!
- ¡Allí viene otro!	- Here's another one.
¡Padre!	Hey, Father!
- - Padre...	- Father!
- - Padre...	- Father!
Te quitaré el sombrero.	Let me take your hat.
¡Pinocho!	Pinocchio!
- ¡Tus orejas!	- Those ears!
- ¿Eh?	- Huh?
¿Qué te ha pasado?	What's happened to you?
Ya está bien.	Hey! Cut it out!
- ¿Una balsa?	- A raft?
No, no, no, no.	No, no, no, no.
No la necesitaremos.	We won't need it.
Eso no es una desgracia.	Well, it's about time!
- ¡No funcionará!	- It won't work!
¡Espera!	Hang on!
Salud.	Gesundheit.
- ¡Estamos regresando!	- We're going back!
¡No está!	We made it!
¡Les dije que enfurecería!	I told you he'd be furious!
- He's gone!	- He's gone!
¿Adónde se fue?	- Where did he go?
¡Estad atentos!	Look out!
¡Espera!	Hang on!
Va a volver.	He's coming back.
¡Retrocedamos!	Let's go back!
¡Estad atentos!	Look out!
¡Al agua!	Jump!
¡Papá, papá!	Father! Father!
Mi hijo...	My boy.
- Debes probar que eres valiente, sincero y nada egoísta. - Y un día serás un niño de verdad.	Prove yourself brave, truthful and unselfish, and someday you will be a real boy.
¡Padre!	Father!
No, no lo estoy.	No, I'm not.
Sí, lo está.	Yes, yes, you are.
Ahora, acuéstate.	Now, lie down.
- Yo soy real.	- I'm real.
¡De verdad!	I'm a real boy!
¡Estás vivo!	You're alive!
¡Esto merece que celebremos!	This calls for a celebration!
¡Música, profesor!	Professor, lots of music!
Gracias, señora.	Thank you, milady.
Merecía ser un niño de verdad.	He deserved to be a real boy.
- ¡Bueno, aquí estoy!	- Well, I'll be!
¡Caray!	My, my!
Despierta.	Wake up.
¿Ahora qué?	- What now?
¿Qué es lo que pasa aquí?	What's going on around here?
- Despierten.	- Wake up.
- Al fin sucedió.	- It's happened.
- Vamos.	- Come on.
Es mejor que nos apresuremos.	You better hurry up.
- Voy a mostrarte.	Well, look.
- Bien.	- Well.
- ¿No es una monada?	- Isn't he cute?
Te felicito.	You're to be congratulated.
- Sí, felicitaciones.	- Yes, congratulations.
- Felicitaciones.	- Congratulations.
Muchas gracias.	Thank you very much.
Mira	Look.
Está intentando levantarse.	He's trying to get up.
Da coces.	Thumper.
- Oh, pero si va a hacerlo...	Well, he is.
- ¿Y tú?	Aren't you?
Vamos.	Come on.
Da coces.	Thumper.
- Buenos días.	- Good morning.
Adiós.	Goodbye.
Buenos días.	Good morning.
¿Qué ocurre?	- What's the matter?
¿Qué pasó?	- What happened?
- ¿Está herido?	- Is he hurt?
Da coces.	Thumper.
Vamos, levantaos, levantaos.	Come on, get up. Get up.
- Levántate.	- Get up.
Al menos lo prueba.	- Try again.
Conejito.	Thumper!
Vamos.	Come on.
Puedes hacerlo.	You can do it.
Así.	Like this.
Pajarraco.	Bird.
Pajarraco.	Bird.
Pajarraco.	Bird.
Me habló.	He talked.
Pajarraco.	Bird.
¿Una mariposa?	Butterfly?
Mantequilla...	Butter...
Una mariposa.	Butterfly.
- Es bonito.	- It's pretty.
Qué bonito.	Pretty.
Flor.	Flower.
A mi?	Me?
- Está un poco...	- He's a little...
- Está bien.	- That's all right.
No me importa.	I don't mind.
Qué bonito.	Pretty.
Dios mío.	Gosh.
¿Es Meadow?	Meadow?
- ¿Dônde oíste eso?	- Where did you hear that?
Bueno, tiene razón.	Well, he's right.
Tal vez.	Perhaps.
A callar.	Hush now.
Ya llegamos.	We're almost there.
¡No!	- Wait.
Pete. Espera aquí.	Wait here.
- Está bien, está bien.	It's all right.
Vamos.	Come on.
Hola.	Hello.
Es delicioso.	It's delicious.
Eso es lo bueno.	That's the good stuff.
Da coces.	Thumper.
- ¿Sí, mamá?	- Yes, Mama?
Supongo que ya me viste mirándote ahí adentro.	- What did your father tell you?
- ¿Sobre qué?	About what?
Oh, ésa.	Oh, that one.
Hola, Bambi.	Hello, Bambi.
Le dije hola--	I said hello.
No tendrás miedo, ¿no?	You're not afraid, are you?
Vamos, saluden,	Go on, say hello.
Hola.	Hello.
Tú...	You.
Sí, lo sé.	Yes, I know.
Buenos días, Bambi.	Bambi.
Madre.	Mother.
Buenos días, Bambi.	Bambi.
Madre.	Mother.
Vamos.	Come on.
Es seguro.	It's safe now.
Madre, mira.	Mother, look.
- ¿Nieve?	- Snow?
.	- Yes.
Vamos.	Come on.
- Está bien, está bien.	It's all right.
Mira	Look.
Vamos, levántate.	Come on, get up.
Así.	Like this.
Despierta.	Wake up.
¿Para qué?	What do you want to do that for?
Bien, buenas noches.	Well, good night.
Pero no dura mucho.	But it won't last forever.
Sí, lo sé.	Yes, I know.
Mira	Look.
Buenos días, Bambi.	Bambi.
Rápido.	Quick.
Más rápido.	Faster.
Rápido, Bambi.	Faster, Bambi.
No mires atrás.	Don't look back.
Que me fuera lejos.	Keep running.
Que me fuera lejos.	Keep running.
Lo conseguimos.	We made it.
Seguimos...	We...
Madre.	Mother.
Mamá, ¿dónde estás?	Mother, where are you?
Tu madre Ya no está contigo...	Your mother can't be with you anymore.
Ven.	Come.
Hijo mío,...	My son.
Espera	Wait.
¿Y ahora qué?	What now?
Oye	Hey.
¡Venga!	Scat.
Ven.	There.
¿De qué sirve?	Oh, what's the use?
Déjalo.	Stop it.
Váyanse de aquí.	Get out of here.
¡Todos! ¡Idiotas!	All of you.
Tú también. - Escuche, sheriff...	And you, too.
¡Bambi!	Bambi!
Hola, Bambi.	Hello, Bambi.
¿Se acuerda de mí?	Remember me?
Da coces.	Thumper.
Sí	Right.
- Hola, David.	Hi, fellas.
Flor.	Flower.
Sí.	Yeah.
Y además, ¿sabe lo que le digo?	And then you know what?
- Qué terrible.	- Terrible.
Podría pasarle a cualquiera.	It can happen to anybody.
- No pregunté nada	- Me neither.
- No pregunté nada	- Me neither.
Sinvergüenzas...	Twitterpated.
Hola, Bambi.	Hello, Bambi.
¿No se acuerda de mí?	Don't you remember me?
Buenos días, Bambi.	Bambi.
Y a ti	And you
Fuera.	Hurry.
Sígueme.	Follow me.
Escucha.	Listen.
- Ya viene.	- He's coming.
- Calla.	- Hush.
Cállate.	Be quiet.
- Estate calmado.	- Be calm.
¡Mi esposa! ) ¡No te pongas nervioso!	Don't get excited.
-No	- No.
Llegará enseguida.	He's almost here.
No puedo soportarlo más.	I can't stand it any longer.
Buenos días, Bambi.	Bambi.
Suba ahí arriba.	Get up.
Tiene que levantarse.	You must get up.
Suba ahí arriba.	Get up.
Suba ahí arriba.	Get up.
Debe abandonar el escenario.	Now, come with me.
Buenos días, Bambi.	Bambi.
Despierta.	Wake up.
¿Y ahora qué?	What now?
- Al fin sucedió.	- It's happened.
- ¿Qué?	- Happened?
Bien.	Oh. Well.
Mira	Look.
Dos...	Two of them.
Un viejo amigo mío.	An old friend of mine.
Oh, no lo sabía.	- Oh, I didn't know.
- ¡Gracias! .	- Thank you.
- ¿Sí?	- Yes?
- Ethel.	Ethel.
Me pone de los nervios.	Makes me nervous.
¡Aquí!	Here!
No lo sé.	I don't know.
¿Qué pasó después?	Then what happened?
¿Qué es lo que pasa aquí?	What's going on here?
- Es una grabación.	It's on the record.
- Yo, señor.	- I did, sir.
¿Por qué?	- Why?
Yo...	I ...
¡No quería venir! ¡Quiero irme ya!	I told you we shouldn't have come here!
- ¡Callarse la boca!	- Shut up!
¿Qué clase de hombre es?	What kind of a man is he?
¿Quién le conoce?	Who knows him?
- ¡Te lo he dicho!	- I told you!
Sí, señor.	Yes, sir.
Muy peculiar.	Very peculiar.
- ¿Quién?	- I was hired.
- ¿Quién?	- By whom?
- ¿Le viste?	- You saw him?
-No	- No.
- ¡"Unknown"!	Unknown
¡Eso es una mentira!	That's a lie!
Ahora lo recuerdo.	Now I remember.
¿Qué pasó?	- What happened?
En seguida, señor.	I quite agree, sir.
No, señor.	- No, sir.
¡Está de maravilla!	It's wonderful!
¡De veras!	Really!
- ¿Eh?	- Huh?
¿Qué dices?	What did you say?
- No se mueve.	- He's not moving.
- ¿Qué ha dicho el doctor?	- What did the doctor say?
- Muerto.	- Dead.
¿Qué?	What?
¡No toque!	Don't touch!
Oled.	Smell it.
¿Suicidio?	- Suicide?
¡Doctor!	Doctor!
Buenos días, general.	Good morning, General.
Buenos días.	Good morning.
-- ¿Cómo?	- What?
No lo entiendo.	- I don't understand it.
- 800 $.	- Eight.
¿Y qué pasa con el desayuno?	What about breakfast?
-- ¿Cómo?	- What?
-- ¿Cómo?	- What?
- Su esposa.	- His wife.
- ¿Qué?	- Eh?
- ¿Esposa?	- Wife?
¡No me lo creo!	I don't believe it!
¡No pierdan la calma!	Take your time!
- ¿El qué?	- Got what?
- Yo también.	- Me too.
Inmediatamente.	Immediately.
¿Lo oye?	Do you hear that?
- Nosotros también.	So are we.
¡Señor John!	Sir John!
- Nadie.	- Nobody!
No lo entiendo.	I don't understand it.
Así es.	That's right.
- Ya sé dónde está.	- I know where he is.
¿Qué es, amigo?	What is it, man?
- Sabía que lo haría.	- I was expecting that.
Está muy claro.	Perfectly clear.
¿Tienes que hacer eso?	Do you have to do that?
- ¿Quién?	- Who?
¿Cuál?	Which one?
- No.	- We don't.
Eso es lo que estaba pensando.	- That's what I was thinking.
- que sabemos de el?	- What do we know about him?
Es un hecho contrastado.	That's a fact.
- No veo por qué.	I don't see why.
"Gracias."	Thank you.
¿De quién sospecha?	Whom do you suspect?
No tiene derecho!	You can't do that!
El tiempo lo dirá.	Time will tell.
Sí, ¿por qué?	What about it?
- No, gracias.	No, thank you.
Cuantos más sean, mucho más divertido.	The more the merrier.
¿Sí, señor?	- Yes, sir?
"Gracias."	Thank you.
- ¿Se lo has dicho?	- Have you told him?
Sí, señor.	- Yes, sir.
¡Espere!	No wait!
Abierto!	Open up!
¡Abre la puerta!	Open the door!
- ¿Por qué?	- What for?
Date prisa.	Hurry up!
- Llueve.	It's raining!
Cierre la puerta.	Don't worry about me, sir.
Olvídalo.	Never mind.
- Buenas noches.	- Good night.
- Buenas noches.	- Good night.
- Buenas noches.	- Good night.
- Buenas noches, señor.	- Good night, sir.
No está aquí.	She's not here!
¿Qué hay de malo en eso?	What's wrong with that?
Mira	Look.
¿Qué es eso?	- What's that?
- ¿Dónde está?	- Where is he?
¡Rogers!	Rogers!
¡Rogers!	Rogers!
No está. ¡Rogers!	- He's not there.
Iba borracho.	He got drunk.
Está muerto.	He's dead.
-No	- No.
-- ¿Cómo?	- What?
Uno, dos, tres.	- One. Two. Three.
¡Ya caigo!	I get it!
¿no? - No.	No I don't.
¿No, por qué?	No, why?
¿Qué paso con él?	What happened to the boy?
¡Ya lo tengo!	I got it!
- ¿Quién?	- Who?
- Rogers.	- Rogers.
Hecho.	Fact.
Requiere práctica.	It takes practice.
Por supuesto	Of course.
¡Lombard!	Lombard!
-Por trabajo.	- What you doing here?
- ¡Oh! ¿Por qué?	- Why is that?
¿Y qué hay de una mujer?	How about a woman?
Es ella	It's her!
- ¿Como podemos saberlo?	How do we know?
Nadie me lo preguntó.	Nobody asked me.
¡Lo he pillado!	I've got him!
Yo sé dónde está.	I know where it is.
¡No está aquí!	- It's not here!
- Déjeme.	- Don't.
¡No está aquí!	It's not here.
- ¿Qué hiciste con ella?	- What did you do with it?
- ¿Qué hiciste con ella?	- What did you do with it?
¿Y tú?	What about yourself?
¿Por qué?	Why not?
Lo seré.	I shall.
No lo sé.	I don't know.
- ¿Vera?	- Vera?
- ¿Dónde está?	- Don't come any closer!
- ¿Donde está ella?	- Where is she?
No dirá nada.	I won't say a word.
¡No se me acerque!	Don't come any closer!
No te preocupes por mi.	- Don't worry about me.
- ¡Vamos!	- Come on!
No me molestes.	Don't bother me.
¡Ya caigo!	I get it!
- ¡Quedaos donde estais!	- Stay where you are!
¿Por qué?	- Why not?
- ¿Quién?	- Who?
Me esta bien empleado!	I see!
- ¿Ahora?	- Now?
Eso es todo.	That's all.
- ¡Gracias! .	- Thank you.
Vera, Vera.	-Vera!
- ¿Quién es?	-Who is it?
¿Dónde has estado?	- Where have you been?
- ¿Su cuarto?	Your room?
- ¿Qué te ha pasado?	- What happened to you?
- ¿Has oído algo?	- Did you hear anything?
¡Vera!	Vera!
¡Vera!	Vera!
¿Qué?	What happened?
- ¿Quién?	- Who?
- ¿De quién?	- Who was it?
Pronto lo averiguaremos.	We'll soon find out.
¡Oye!	Hey!
¡Las luces!	Lights!
¡Las luces!	Lights!
Algas.	Seaweed.
- ¿Y el Juez?	- Where's the judge?
- Yo también.	- So did I.
Gilbert le golpea por todos lados.	- Shot?
¿Qué te dije?	What did I tell you?
-- ¿Cómo?	- What?
.	- Yes.
Es mi revólver.	It's my own.
- ¿Quién?	- By whom?
¿No recuerdas?	Don't you remember?
¿Cierto?	True?
Sí.	Yes.
¡Solucionado!	Agreed.
Esperad un minuto.	Now wait a minute.
Preferiría no hablar de ello.	I'd rather not talk about it.
- No veo por qué.	- I don't see why.
- Le conocerás, le conocerás...	- You will. You will.
Sí	Right.
Sí	Right.
Sí	Right.
¡Ya caigo!	I get it!
- Espera un momento.	- Oh, wait a minute.
- ¡Oh, no!	- Oh, no!
- Buenas noches, chico.	Good night, gentlemen.
Estoy segura de que sí.	I'm sure I will.
- ¿Cuánto hace que está allí?	How long have you been out there?
Habla bajo.	Shh. Not so loud.
- ¿Cuánto hace que está allí?	How long have you been out there?
Tú...	You.
- ¿Y conmigo?	- What about me?
Sí, lo dijo.	- Yes, he did.
Sí, así es.	Yes, he was.
¡Escucha!	Listen!
No dispares si no es necesario.	Don't shoot unless you have to.
Pues te digo algo, voy a averiguarlo.	I'm going to find out.
- Coge el arma.	- Take the gun.
¡Adelante!	You go first!
¡Vamos, Vera!	Come on, Vera!
Uno, dos, tres, cuatro.	One. Two. Three.
¿Quién está ahí?	Who's there?
¡Lombard!	Lombard!
- ¿Dónde?	- Where?
¡Ya caigo!	I get it!
