我要告诉你...	I will tell you...
- 什么？	I invented it.
肯定是	You must be.
...	It gets on my nerves.
算了吧，好吗？	Forget it.
喝杯酒	Have a drink.
你没有杀他	You didn't kill him.
謝了	Thanks.
也许你是对的	- Maybe you're right.
-我一向是对的	- I'm always right.
一定是的	Sure is.
这是一个职业。	It's a profession.
像個大飯桶	Think of that.
我想累了	I'm tired of thinking.
我知道我在说什么	I know what I'm talking about.
只是时间的问题	It's only a question of when.
是啊	Yeah.
像你是嗎？	Like you?
我爱你	I love you.
我要睡觉了	I'm going to bed.
閉嘴！	Shut up.
來.	Come on.
我可以给你四百万	I want to buy it.
-如果价码对	- If the price is right.
-嗯	- Yup.
- 嗯...	- Well ...
要改主意么？	Change your mind?
- 好吧。	- Let's go.
-謝謝您	Thank you.
开这个	Take a look at that.
- 不 你会	- Yes, you will.
你觉得我疯了吗?	You think I'm crazy?
你们醒一醒	Excuse me.
我是不會這樣的 我不會變成我媽那樣	And I won't do it.
我认为你会	I think you will.
道德沦丧真是可悲	No.
也许吧 也许吧	Maybe. Maybe.
- 是的.	- Yeah.
那好	Alright, then.
消息？	Information?
謝了	Thanks.
- 那有怎么样?	- So what?
-维拉!	- Vera!
请便	Alright.
- 不要告诉我	- Don't tell me.
維拉！	Vera!
这不是个笑话吗？	Isn't that a laugh?
很好 这是所有权利文件...	Very well.
克莉丝	Chris.
恭喜你.	Congratulations.
- 謝謝.	- Thank you.
- 謝謝.	- Thank you.
-謝謝您	Thank you.
-謝謝您	Thank you.
晚安	Good night.
看啊	Look.
你发现了什么？	What do you find?
我喝多了	I drank too much.
晚安	Good night.
等等	- No, wait, wait.
经纪人	Agent!
经纪人	Agent!
―那边。	- Over there.
- 我不知道	- I don't know it.
在这里等	Wait here.
我们往那儿	We go there.
你好 凯蒂	Hello, Kitty.
你见到约翰了吗?	Have you seen Johnny?
兩杯咖啡	Two coffees, please.
只有一个	Only one?
没问题，没问题	- Yes, yes.
-謝謝您	Thank you.
凯蒂	Kitty.
简而言之...	In short...
你相信吗？	Do you believe?
我？	- Me?
你的脸色很苍白	- No.
-呃...	Well...
但是呢 他还没有学会适当的遣词用字	Yes.
请记住，剧院 最重要的顾客。	No, no, not.
幾點了？	What time is it?
-謝謝您	Thank you.
克裏斯托弗	Christopher.
我妻...	My wife...
道德沦丧真是可悲	No.
嗯	- Yes.
很可怕.	It was terrible.
最多判5年.	Five years.
接着...	And...
你要吗	Do you want one?
因为我 是的	- Of you.
在哪?	Do you see it?
约翰尼	Johnny!
没错	It is this way.
道德沦丧真是可悲	No.
是的 我明白	Yes, I understand.
你过来	You already know.
真有趣	Interesting.
- 别提了	- Forget it.
凯蒂，别闹了	Kitty, please.
过来这儿!	Chris!
听着，我不得不告诉你	I have to tell you something.
- 什麼?	- What?
我欺骗你们	I have deceived you.
多少钱？ 一本还是二本	How much do you need?
-不用了，謝謝你	No, thank you.
-謝謝您	Thank you.
你已经喝醉了？	Have you been drinking?
克裏斯托弗	Christopher.
克裏斯托弗	Christopher.
做什麼呢！	What are you making?
看	Are you blind?
哪一種？	- Which?
为了要让你惊喜	Of course.
酒鬼和胆小鬼 - 女人！	- Woman!
- 過來.	- Here.
是吗？	Is he?
走...	Go...
威斯忌？	Whisky?
 膥尿 猳...	Go, go, go...
是吧.	It could be.
过来这儿!	Chris!
你有伴了	You have company.
Johnny	Johnny...
也是我的宇宙	How is it?
但是呢 他还没有学会适当的遣词用字	Yes.
也许吧	Perhaps.
你开心吗?	Are you happy?
一千元?	A thousand dollars?
-為什麼？	Why not?
-认识 多谢了 马克	Yes, I know it.
-我会办到的	- I will get it.
-再见	- Good-bye.
不知道理由	I don't understand it.
迟点努特西奥只不过 是一具尸体 你不爱我	You don't love me.
-真的嗎？	No?
你的脸色很苍白	- No.
现在怎么样呢？	And now, what?
晚安	Good night.
你好尼克你在想什么呢	Hello, Nick.
他们是好？	Are they good?
这很重要吗？	Is it important?
尼克	Nick.
什么博物馆?	What museum?
上帝啊	My God.
