今からそれを話してあげよう	I will tell you...
もう、うるさーい！ ！	Stop it.
おまえら、他所でやれ！	Get out of here.
他所で！	All of you.
おまえもだ！	And you, too.
バンビ！	Bambi!
やぁ、バンビ！	Hello, Bambi.
僕を覚えてるかい！ ？	Remember me?
テンパー！	Thumper.
そうさ！ ！	Right.
こんにちは、お兄さんがた	Hi, fellas.
お花さん！ ！	Flower.
うふふ	Yeah.
それからそれから・・・・	And then you know what?
- そりゃひどい！	- Terrible.
こいつは誰にでも起こる可能性があるんだ	It can happen to anybody.
僕にもないよ！	- Me neither.
ないね	- Me neither.
ラブラブかよ！	Twitterpated.
こんにちは、バンビ。	Hello, Bambi.
あなたは私を覚えていないのですか？	Don't you remember me?
バンビ・・・	Bambi.
And you・・・ (そして、あなたも・・・・)	And you
急げ！	Hurry.
私について来い！	Follow me.
聴こえる！	Listen.
- どんどん近づいてるわ - シー！	- He's coming.
静かに！	- Hush.
静かにして	Be quiet.
- 落ち着いて！	- Be calm.
興奮しないで！	Don't get excited.
- 跳び上がっちゃダメだ！	- No.
人間はすぐそこよ！	He's almost here.
もう耐えられない！ ！	I can't stand it any longer.
バンビ！	Bambi.
立て	Get up.
おまえは立たなければいけないんだ！	You must get up.
立て！	Get up.
立ち上がれ！	Get up.
私と一緒に来い	Now, come with me.
バンビ	Bambi.
起きろよ！	Wake up.
今度は何だ？	What now?
- いよいよなんだ！	- It's happened.
- いよいよだよ！	- Happened?
まぁ・・・皆さん・・・	Oh. Well.
よく見えるわ	Look.
可愛い二人・・・	Two of them.
チャールズ・モーリィ 友人さ	An old friend of mine.
- ほう、そうでしたか	- Oh, I didn't know.
- すいませんね	- Thank you.
- なんだ？	- Yes?
エセル	Ethel.
気の揉めるはなしさ	Makes me nervous.
これも！	Here!
さあ	I don't know.
それから？	Then what happened?
いったいどうなっている？	What's going on here?
レコードだ	It's on the record.
- 私でございます	- I did, sir.
- なぜ？	- Why?
知らなかった	I ...
だから来るんじゃなかったって！	I told you we shouldn't have come here!
- おだまり！	- Shut up!
彼はどういう人物かね？	What kind of a man is he?
彼を知っている者は？	Who knows him?
- 言ったじゃないか！	- I told you!
わかりました	Yes, sir.
唯一直接本人からのものです とても妙ですな	Very peculiar.
- 雇われたんだ	- I was hired.
- 誰に？	- By whom?
- 会ったのか？	- You saw him?
- いや、高額の為替を同封してきた	- No.
アンノウン（不明）	Unknown
嘘だ！	That's a lie!
思い出しましたぞ 一年前	Now I remember.
- 何があった？	- What happened?
同感です	I quite agree, sir.
- ございません	- No, sir.
すばらしいじゃないか！	It's wonderful!
いやまったく！	Really!
- はあ？	- Huh?
何と言われたのじゃ？	What did you say?
- 動かない	- He's not moving.
- 先生は何と言われた？	- What did the doctor say?
- 死んだ	- Dead.
はあ？	What?
触るな！	Don't touch!
嗅いで	Smell it.
- 自殺ですか？	- Suicide?
先生！	Doctor!
おはようございます、将軍	Good morning, General.
おはよう	Good morning.
- どうしました？	- What?
- どうも不可解だ	- I don't understand it.
- ８つ	- Eight.
朝食は？	What about breakfast?
- なんだと？	- What?
- なんだって？	- What?
- 妻です	- His wife.
- はあ？	- Eh?
- 妻か	- Wife?
信じられんね	I don't believe it!
慌てなくていい！	Take your time!
- って何を？	- Got what?
- 俺もだ	- Me too.
直ちに 狂人が野放しである限り	Immediately.
聞いたか？	Do you hear that?
僕らもだ	So are we.
サー・ジョン！	Sir John!
- 誰もいない！	- Nobody!
どういうことだ	I don't understand it.
そうだ！	That's right.
- 居所は分ってます	- I know where he is.
何だ、どうした？	What is it, man?
- 思っていたことが	- I was expecting that.
火を見るよりも明らかに	Perfectly clear.
なすべきとやらがそれか？	Do you have to do that?
- 誰？	- Who?
誰だ？	Which one?
- それはない	- We don't.
- それを考えていた	- That's what I was thinking.
- 彼について知っていることは？	- What do we know about him?
事実だ！	That's a fact.
どうしてだね	I don't see why.
どうも	Thank you.
誰を疑ってる？	Whom do you suspect?
無理を言うな！	You can't do that!
時が経てばわかる	Time will tell.
それが何か？	What about it?
結構よ	No, thank you.
多ければ多いほど愉快	The more the merrier.
- 何でございましょう？	- Yes, sir?
おかげさまで	Thank you.
- もう言ったのか？	- Have you told him?
- はい	- Yes, sir.
ちょっと待て！	No wait!
開けろ！	Open up!
ドアを開けるんだ！	Open the door!
- 何のため？	- What for?
急げ！	Hurry up!
雨だ！	It's raining!
ご心配にはおよびません	Don't worry about me, sir.
いや、いい	Never mind.
- おやすみ	- Good night.
- おやすみ	- Good night.
- おやすみなさい	- Good night.
- おやすみなさい	- Good night, sir.
いないぞ！	She's not here!
どうした？ もう日が高い	What's wrong with that?
見て！	Look.
- なんだ？	- What's that?
- どこかな？	- Where is he?
ロジャース！	Rogers!
ロジャース！	Rogers!
- いない	- He's not there.
彼は酔っ払った挙げ句	He got drunk.
彼は死んだ	He's dead.
- まだだ	- No.
- 何？	- What?
- １、２、３、４、５、６	- One. Two. Three.
わかったぞ！	I get it!
いや違うな	No I don't.
いいえ、どうして？	No, why?
少年はどうしたの？	What happened to the boy?
わかったぞ！	I got it!
- 誰？	- Who?
- ロジャースさ	- Rogers.
先生が言ったとおり 事実！	Fact.
実践が必要だ	It takes practice.
もちろん	Of course.
ロンバード！	Lombard!
- そこで何をしてる？	- What you doing here?
- なぜだ？	- Why is that?
女はどうだい？	How about a woman?
彼女だ！	It's her!
どうする？	How do we know?
聞かれなかったから	Nobody asked me.
よし！	I've got him!
どこにあるか知ってるぞ	I know where it is.
- ないぞ！	- It's not here!
- 違う！	- Don't.
ないな	It's not here.
- どうしたんだ？	- What did you do with it?
- 貴様こそどうした？	- What did you do with it?
ご自分はどうなの？	What about yourself?
あらどうして？	Why not?
そうします	I shall.
知らんよ	I don't know.
- ヴェラ？	- Vera?
- これ以上近づくな！	- Don't come any closer!
- 彼女はどこだ？	- Where is she?
一言も言わん	I won't say a word.
これ以上寄るんじゃない！	Don't come any closer!
- 余計な心配をするな	- Don't worry about me.
- 行こう！	- Come on!
うるさいな	Don't bother me.
わかったぞ！	I get it!
- そのままそこにいろ！	- Stay where you are!
- なんですと？	- Why not?
- 誰だ？	- Who?
なるほど！	I see!
- それで？	- Now?
以上	That's all.
- 恐れ入ります	- Thank you.
- ヴェラ！	-Vera!
-誰だ？	-Who is it?
- 君はどこにいた？	- Where have you been?
あんたの部屋？	Your room?
- なにがあった？	- What happened to you?
- なにか聞かなかった？	- Did you hear anything?
ヴェラ！	Vera!
ヴェラ！	Vera!
どうした？	What happened?
- 誰？	- Who?
- 何者だ？	- Who was it?
すぐにわかる	We'll soon find out.
おい！	Hey!
灯り！	Lights!
灯りを！	Lights!
海藻だ	Seaweed.
- 判事はどこだ？	- Where's the judge?
- 俺もそうだ	- So did I.
- 銃声？	- Shot?
言わんこっちゃない	What did I tell you?
- 何が？	- What?
- そうだ	- Yes.
僕のだ	It's my own.
- 誰だと？	- By whom?
忘れたのか？	Don't you remember?
真実ですか？	True?
ええ	Yes.
同意	Agreed.
ちょっと待った！	Now wait a minute.
話したくありません	I'd rather not talk about it.
- なんのことだか	- I don't see why.
- そうでしょうとも	- You will. You will.
そのとおり	Right.
そのとおり	Right.
そのとおり	Right.
わかったぞ！	I get it!
- おっと待った	- Oh, wait a minute.
- いやいや	- Oh, no!
諸君、また明日	Good night, gentlemen.
私はできます	I'm sure I will.
どれくらいそこにいたの？	How long have you been out there?
しーっ、声が高い	Shh. Not so loud.
そこにどれくらいいたの？	How long have you been out there?
あなたよ	You.
- じゃあ私は？	- What about me?
- いいえ、いたわ	- Yes, he did.
いいえ、殺された	Yes, he was.
あれは？	Listen!
必要なときまで撃つな	Don't shoot unless you have to.
はっきりさせるぞ	I'm going to find out.
- 銃を	- Take the gun.
先に行け！	You go first!
さあ、ヴェラ！	Come on, Vera!
１、２、３ インディアンは３つだけ	One. Two. Three.
誰だ？	Who's there?
ロンバード！	Lombard!
- どこだい？	- Where?
わかったぞ！	I get it!
だってあなたと思ったから	But I thought it was you.
- それだ	- Exactly.
- どうかした？	- What is it?
- よくわからない	- Oh, I don't know.
まあ言いたいことは分かる	Yes, I know what you mean.
すぐに探し出すさ	We'll soon find out.
何が見えて？	What do you see?
何なの？	What is it?
- あり得ない！	- It's impossible!
- 見せて！	- Let me see!
何よ、何なの？	What is it? What is it?
おしえて	Tell me.
見て！	Look!
- 数時間？	- For hours?
- きみと	- You.
- あなた	- And you.
これ以上近寄らないで！	Don't come any closer!
- 名前は？	- What is your name?
これには訳がある	There's got to be an explanation.
そういうことか！	Yes, that's it!
もう手配済みです	Oh, that's been taken care of.
１０？	Ten?
あなたこそどうして？	Why did you?
おはよう	Good morning.
呼んでみろ	You call them.
どうも そこで降ります	Thanks, mister.
- 他に御注文は？	- Want anything else?
- ない	- No.
おい あんた	Hey, you!
俺か？	- Me?
東	East.
LAかい？	LA?
- まあな	- Maybe.
- そうかい！ - そいつがな...	- You don't say.
話すの嫌みたいだな	You're not much of a talker, are you?
そうだ 止めろ！	Turn it off!
そんなあの頃...	Those were the days.
もう帰りましょ	- Let's go home.
どういう意味さ	- I don't get you.
でも今はだめ	But not now.
- 私は成功するわ	- Maybe.
- だとして 僕はどうなる？	But what about me?
- 僕を愛してると思ってた	- I thought you loved me.
さよなら	So long.
もちろんするさ	Sure, why not?
おやすみ	Good night.
10ドルだぞ	Ten bucks.
どうも	Thanks.
なぜだろう？	What was it?
遠距離を頼む	Long distance.
何だって？	You do?
うん	Yeah.
金...	Money.
金とは何か ご存じだろう	You know what that is.
- どこに行くんだ？	- How far are you going?
- LAさ	- L.A.
- どっから来た？	- Where are you coming from?
- ニューヨークさ	- New York.
まさに猛獣だ！	What an animal!
ああ	Yeah.
まずいと思うか？	Was I wrong?
見すぎてる	- Two million.
そうみたいだ	Yeah, I can see that.
すごいな！	That was tough.
俺は食べるだけだ	I ate.
ひどいもんだろ？	- How do you like that?
- 他に欲しいものは？	- Want anything else?
お釣りです	Your change, sir.
- どうも またどうぞ	Call again.
大丈夫ですか？	Are you hurt?
説教したけりゃ 聞いてやる	I'll listen to it.
それどころか...	Not only that.
時間の感覚が 麻痺していた	I lost all track of time.
- いいえ	- No.
いけません	No ...
後でな	Later.
女がいた	There was a woman.
- どこに行くって？	- Los Angeles.
- やっぱりな	- That's what I was afraid of.
- 今なんと？	- What did you say?
- 違う	- No.
- ううん	- No.
騙されないわよ	You're not fooling anyone.
- 一緒って... - 聞こえたはずよ	- You heard me.
もう間違いない	There was no doubt about it.
どうなの？	Well, I'm waiting.
それで？	Well?
これが人生さ	That's life.
- もっとあったはず	Not that I know of.
- 待ってくれ	- Shut up.
賞金出りゃ 突き出してやる あんたが嫌い	I don't like you.
死の香水を嗅ぐ姿は 見たくないね	- I'm not a murderer.
- それは説明を...	- Oh, skip it.
- そうだと思った	- What do you mean?
考えてもみなかった	I never thought of that.
あんたが 行方不明になると困るし	I don't want you to get lost.
どうも	Thanks.
- どうぞ 方の荷が下りる	I'm relieved.
- ああ	Yep.
- わかった	- OK.
もちろん	I invented it.
そりゃそうさ	You must be.
いらいらする	It gets on my nerves.
気にしないの	Forget it.
飲めば	Have a drink.
殺してないってことで	You didn't kill him.
どうも	Thanks.
- 君の言うとおりだ	- Maybe you're right.
- いつでもそうよ	- I'm always right.
そうよねえ	Sure is.
わかりました 教授	It's a profession.
それ考えてみな	Think of that.
