Cooper:	COOPER:
Found 'em!	נמצא אותם!
They were under the newspaper.	הם היו מתחת לעיתון.
What would I do without you?	מה הייתי עושה בלעדיך?
I got to run.	אני חייב לרוץ.
Uh, tonight for dinner, let's check out that new thai place.	אה, ערב לארוחת ערב, בואו לבדוק את שהמקום תאילנדי חדש.
He knows something's off.	הוא יודע את של משהו.
What makes you say that?	מה גורם לך להגיד את זה?
I can feel it.	אני יכול להרגיש את זה.
I know him.	אני מכיר אותו.
Tom is on his heels.	טום הוא על עקביו.
He's behaving erratically.	הוא מתנהג באופן לא סדיר.
He killed Jolene Parker.	הוא נהרג Jolene פרקר.
Yes.	כן.
You knew?	אתה ידעת?
Why didn't you tell me?	למה לא ספרת לי?
I felt if I told you it would inform your behavior with him.	הרגשתי אם הייתי אומר לך שזה היה ליידע ההתנהגות שלך איתו.
I found her body, called the police, and reported a missing person.	מצאתי את גופה, התקשרה למשטרה, ודיווחתי על אדם חסר.
I was confident, in the course of their investigation, they would reach out to you and Tom, and they did.	אני היה בטוח, ב במהלך חקירתם, הם יגיעו אליך וטום, והם עשו.
Jolene Parker undoubtedly worked for the same organization as Tom... In what capacity, I have no idea.	Jolene פרקר ללא ספק עבד באותו הארגון כמו טום... באיזה תפקיד, אין לי מושג.
If they worked together, why would he murder her?	אם הם עבדו יחד, למה ​​שהוא ירצח אותה?
Perhaps he was ordered to.	אולי הוא נצטווה.
Or perhaps he's just...	או אולי הוא פשוט...
Out of control, irrational... Paranoid and reactionary.	מתוך שליטה, לא הגיוני... פרנואיד וריאקציונר.
He's scrambling for a foothold, and therein lies our opportunity to wait and to watch.	הוא נאבק על דריסת רגל, וכאן טמונה ההזדמנות שלנו לחכות ולראות.
But Tom is not the reason I'm here.	אבל טום לא הסיבה שאני כאן.
I'm afraid there's something quite timely afoot.	אני חושש שיש משהו די הזמן להתבשל.
The Pavlovich brothers are back in town.	האחים פבלוביץ' הם שוב בעיר.
You're talking about the team from the bridge that grabbed the general's daughter.	רסלר: אתה מדבר על הקבוצה מהגשר שתפס התו של הגנרל.
Liz:	ליז:
They're an extraction team... Cut their teeth on Milosevic's protective detail during the ethnic cleansing of the Yugoslav wars.	הם צוות חילוץ... חותכים את שיניהם בפירוט ההגנה של מילושביץ' במהלך הטיהור האתנית של מלחמות יוגוסלביה.
We lost six of our men that day.	איבדנו שישה מאנשינו באותו היום.
[Gunfire, grunting]	(ירייה; גונח)
[Grunts]	(נהמות) למיטב ידיעתנו,
To the best of our knowledge, the Pavlovich brothers have no political agenda.	יש האחים פבלוביץ' אין אג'נדה פוליטית.
They specialize in snatch-and-grabs ranging from kidnap and ransom to extracting political dissidents.	הם מתמחים בלחטוף-and-תופס הנע מחטיפה וכופר לחילוץ מתנגדי משטר פוליטי.
Reddington says he has a contact.	רדינגטון אומר שיש לו קשר.
A money launderer sourced by the brothers claims they're coming after a Chinese scientist named Xiaoping Li.	מלבין כספים שמקור ידי האחים טוען הם באים אחרי מדען סיני בשם שיאופינג לי.
- What do we know about her?	- מה אנחנו יודעים עליה?
- 18 hours ago, the agency sent an undercover team to extract her from a clandestine labor camp in the Yunnan province.	- לפני 18 שעות, הסוכנות שלחה צוות סמוי כדי לחלצה ממחנה עבודה חשאי במחוז יונאן.
- Break her out?	- לשבור אותה?
Why? - She's an immunologist... Specializes in viral and bacterial diseases.	- היא היא אימונולוג... מתמחה בנגיפי ומחלות חיידקים.
Four months ago, she signaled to one of our assets that she had a willingness to talk about a secret weapons program.	לפני ארבעה חודשים, היא אותתה לאחד מהנכסים שלנו שיש לה נכונות לדבר על תכנית נשק חשאי.
A month later, she was jailed for treason.	חודש לאחר מכן, היא נכלאה בעוון בגידה.
She's scheduled to land at Andrews in an under an hour, and we have a team standing by to escort her to Langley	היא מתוכננת לנחות באנדרוס בפחות משעה, ויש לנו עומד צוות ידי ללוות אותה לנגלים
- for a debriefing.	- לתחקיר.
- We got to assume that the Pavlovich brothers already know the route.	- יש לנו להניח שהאחים פבלוביץ' כבר יודעים את המסלול.
Well, then we'll reroute her.	טוב, אז אנחנו לנתב אותה.
Bring her here.	תביא אותה כאן.
Coordinate the adjustment with Langley.	לתאם התאמת עם לנגלי.
[Helicopter blades whirring]	(זמזום להבי מסוק)
Man:	MAN:
Echo to tango.	אקו לטנגו.
Uh, asset at drop point.	אה, נכס בשלב ירידה.
Man #2:	♪ MAN 2:
Roger. 30 seconds to rendezvous.	רוג'ר. ♪ ♪ 30 שניות למפגש.
- This way.	- בדרך זו.
Quickly. - Li:	במהירות.
What's going on?	- LI: מה קורה פה?
They said I'd be safe once I arrived.	הם אמרו שאני יהיה בטוח ברגע שהגעתי.
We have a credible threat you're being targeted.	יש לנו איום אמין אתה על כוונת.
As a precaution, we've altered our route.	כאמצעי זהירות, אנחנו כבר שיניתי המסלול שלנו.
Get her up to the chopper.	קבל אותה עד המסוק.
[Tires screech]	(חריקת גלגלים)
Donald Ressler.	דונלד רסלר.
FBI.	ה-FBI.
Where's the asset?	איפה הוא הנכס?
- Ground transport's been arranged.	- תחבורת קרקע כבר מסודרת.
- Negative.	העברה לפרוטו בטא... (ירייה; - שלילי.
Evac's been compromised.	העוצבתי שנפרץ.
Moving to beta proto... [Gunfire, Li screams]	LI צרחות)
[Whimpering] Call it in.	(מייבב) תקרא לזה פנימה
[Gunshots] [Helicopter blades whirring]	(יריות) (זמזום להבי מסוק)
[Gunfire] [Shouts indistinctly]	(יריות) (צעקות מעורפלת)
All right.	בסדר.
Okay.	אוקיי.
Copy that.	העתק את זה.
Anne Arundel county sheriff's department's reporting a downed aircraft burning two miles outside of Crofton.	מחוז אן Arundel הדיווח של מחלקת שריף מטוסים שהופלו שריפת שני קילומטרים מחוץ קרופטון.
There's no witnesses on the ground.	אין עדי על הקרקע.
We do have units en route.	יש לנו יחידות בדרך.
It's got to be the dump site	הוא חייב להיות אתר מזבלה
- on this chopper.	- הם ידעו שפרוטוקול ה-CIA... שאם המסלולים היו נפגעים, הם היינו שולחים בסיוע אווירי. - על המסוק הזה.
These guys weren't based domestically.	החבר 'ה האלה לא היו מבוסס מבית.
They snuck in, and they're gonna sneak out.	נכנס בגניבה, והם הולכים להתגנב החוצה.
We should coordinate with homeland, get their faces everywhere.	אנחנו צריכים לתאם עם מולדת, לקבל את פניהם בכל מקום.
Agent Malik, you want to tell me why the director of national intelligence is calling?	הסוכן מאליק, אתה רוצה לספר לי מדוע מנהל המודיעין הלאומי הוא קורא?
What don't I know about this case?	מה אני לא יודע על המקרה הזה?
The program Li was working on...	התכנית לי היה עובד על...
It's germ weaponry... Banned by nearly every nation on Earth.	זה נשק נבט... מגורש על ידי כמעט כל אומה על פני כדור הארץ.
It's called Whitefog.	זה נקרא Whitefog.
Day before she was jailed, Xiaoping Li sent a message indicating that she had access to the designs.	יום לפני שהיא הייתה כלוא, שיאופינג Li שלח הודעה מצביע על כך שהייתה לה גישה לעיצובים.
If she did, and she shared those with us, that would represent the biggest intelligence coup in a decade.	אם היא עשתה, והיא משותפת אלה איתנו, שייצג את הפיכת מודיעין הגדולה ביותר בעשור.
A germ-warfare program?	תכנית של הלוחמה ביולוגית?
That's why the Chinese can't turn this into an international incident.	לכן הסיני לא יכול להפוך את זה לתקרית בינלאומית.
[Cellphone vibrating]	(רטט הסלולר)
- Red:	- אדום:
Where are you?	איפה אתה?
- Busy.	- עסוק.
The brothers...	האחים...
They took Xiaoping Li.	הם לקחו לי שיאופינג.
How do you know?	איך אתה יודע?
Do you have a lead?	האם יש לך יתרון?
Something we can...	משהו שאנחנו יכולים...
- Your husband is not in school.	- בעלך הוא לא בבית הספר.
- Wait.	- חכה.
What?	מה?
Where is he?	איפה הוא?
Meet me at 9th and Constitution.	פגוש אותי ב-9 וחוקה.
[Cellphone beeps]	(הסלולר צפצופים)
Reddington says he has a lead on the brothers.	רדינגטון אומר שיש לו להוביל על האחים.
Wants to talk.	רוצה לדבר.
Let me know what NTSB says about that downed aircraft.	תודיע לי מה אומר NTSB על שמטוסים שהופלו.
Called in sick this morning.	הודיע ​​שהוא חולה הבוקר.
Returned home briefly before making a stop at the Radford Bank in Adams Morgan.	חזר הביתה לזמן קצר לפני ביצוע הפסקה בבנק רדפורד באדמס מורגן.
He's made three phone calls...	הוא עשה שלוש שיחות טלפון...
All from pay phones.	כל מטלפונים ציבוריים.
He's been sitting at that cart for nearly an hour.	הוא כבר יושב באותו הסל במשך כמעט שעה.
I'm sorry, Lizzy.	אני מצטער, ליזי.
Don't be.	אל תהיה.
This must be difficult.	זה חייב להיות קשה.
You want to know what's hard?	אתה רוצה לדעת מה הוא קשה?
Sitting here when all I really want to do is get my hands around his throat.	יושב כאן כש כל מה שאני באמת רוצה לעשות הוא לקבל את הידיים שלי סביב גרונו.
[Indistinct conversations]	(CONVERSATIONS לא ברור)
- Shouldn't we follow him?	- לא כדאי לנו לעקוב אחריו?
- We are.	- אנחנו.
They all work for you.	כולם עובדים בשבילך.
Lizzy, wait, wait, wait.	יזי, מחכה, חכה, חכה.
What are you do... [Door closes] [Horn honks]	מה אתה... (דלת נסגר) (הורן צופר)
[Indistinct conversations]	(CONVERSATIONS לא ברור)
Not now.	לא עכשיו.
[Indistinct conversations]	(CONVERSATIONS לא ברור)
[Camera shutter clicks]	(קליקים תריס מצלמה)
[Camera shutter clicks]	(קליקים תריס מצלמה)
[Camera shutter clicking]	(לחיצה על תריס מצלמה)
Li: [Panting]	LI: (מתנשף)
The boat...	הסירה...
How long for the boat?	כמה זמן לסירה?
[Speaking serbian]	(אם כבר מדברים סרבי)
Li:	LI:
No. No. Please, no.	לא, לא, בבקשה לא.
[Air hisses] [Gasps]	(AIR לוחש) (נשימות)
["The American waltz" plays]	("האמריקאיוולץ"נצחונות)
[Door closes] Liz:	- (דלת נסגר) - ליז:
Tom?	טום?
Tom?	טום?
I'm in the dining room.	אני בחדר האוכל.
Where'd you get that thing?	איפה יש לך את הדבר הזה?
I was gonna ask you the same question.	אני היה הולך לשאול אותך את אותה השאלה.
I found it in the basement.	אני מצאתי אותו במרתף.
That's where that was.	זה המקום שהיה.
I've been looking for it.	אני כבר מחפש את זה.
My father gave it to me.	האבא שלי נתן לי.
[Music stops] It's beautiful. It's in great condition, too.	(מוסיקהנפסקת) זה יפה  זה במצב מצוין, יותר מדי.
It looks almost new.	זה נראה כמעט חדש.
Why haven't I seen this before?	למה אני לא ראיתי את זה קודם?
[Pot lid rattling] Your pot is gonna boil over.	(מכסה של סיר שקשוק) סיר שלך הוא רתיחה הולכת מעל.
You're cooking?	אתה מבשל?
I thought we were going out for thai.	חשבתי אנחנו יוצאים לתאילנד.
Yeah, well, I just thought it might be nice, you know, to stay home alone...	כן, טוב, אני רק חשבתי זה יכול להיות נחמד, אתה יודע, להישאר בבית לבד...
Just you and me.	רק אתה ואני.
How was your day?	איך היה היום שלך?
It was exhausting. [Chuckles softly]	זה היה מתיש.
You know Billy Salter?	(מגחך חרש) אתה יודע בילי סאלטר?
He was acting up again 'cause his mom keeps packing these fruit roll-ups, and they give him this satanic sugar high, you know.	הוא היה מתנהג שוב כי אמא שלו שומרת על אריזת אלה מגולגלי פירות, והם נותנים לו את זה שטני סוכר גבוה, אתה יודע.
So... Oh, uh, I did stop by the national archives just to maybe book a field trip for the kids.	אז... אה, אה, אני לא אפסיק ידי הארכיונים הלאומיים רק כדי אולי ספר טיול שדה לילדים.
It's funny.	זה מצחיק.
I, uh... I could have sworn that I saw you there.	אני, אה... יכולתי להישבע שראיתי אותך שם.
There was a woman there, and she looked just like you.	הייתה שם אישה שיש, והיא נראתה בדיוק כמוך.
Ah, no, I wish.	אה, לא, אני רוצה.
I was cooped up in the office all day.	הייתי כלוא במשרד כל היום.
Yeah.	כן.
Should have known.	צריך לדעת.
Well, whoever she was, she could not have been half as beautiful as you are right now.	ובכן, מי שהיא הייתה, שהיא לא הייתה יכולה להיות חצי יפה כמו כמו שאתה עכשיו.
All right.	בסדר.
Uh, keep stirring.	אה, לשמור על ערבוב.
I'm gonna walk the dog.	אני הולך לטייל עם הכלב.
Come on, bud.	יאללה, ניצן.
Hey, hey, hey. [Smooches] Come here.	היי, היי, היי. (SMOOCHES) בוא הנה.
Hey, hey, hey.	היי, היי, היי.
Where you going?	לאן אתה הולך?
[Smooches] Come here.	(SMOOCHES) בוא לכאן.
Come here.	בואו לכאן.
Yes, you're a good boy.	כן, אתה ילד טוב.
Yes, you are.	כן, אתה.
Yes, you are.	כן, אתה.
What?	מה?
Nothing.	שום דבר.
Love you.	אוהב אותך.
I'll be right back.	אני מייד חוזר.
Come on, bud. [Smooches] Come on.	בחייך, ניצן. (SMOOCHES) בחייך.
Come on.	קדימה.
Such a good boy.	כזה ילד טוב.
You're a good boy.	אתה ילד טוב.
Yes, yes, yes.	כן, כן, כן.
[Door closes]	(דלת נסגר)
[Scratching on door]	(מגרד על דלת)
[Cellphone snaps]	(הסלולר מצליפה)
[Coin clinks] [Dialing]	(COIN נקישות) (חיוג)
Woman:	אישה:
Bantam finance.	מימון בנטם.
How may I direct your call?	איך אני יכול לנתב את השיחה שלך?
Hi.	היי.
I'm having a problem with my account.	אני נתקל בבעיה עם החשבון שלי.
Uh, number Delta, Sierra, 4-5-1.	אה, מספר דלתא, סיירה, 4-5-1.
[Beeps] Line is secure.	(צפצופים) קו מאובטח.
Proceed.	המשך.
Mockingbird knows.	זמיר יודע.
Requesting immediate evac.	בקשה העוצבתי מיידי.
She knows.	היא יודעת.
[Receiver clicks]	(מקלט קליקים)
[Key fob clinks, keys jingle]	(נקישות KEY FOB, מפתחות ג'ינגל)
He's gone.	הוא נעלם.
My husband is gone.	הבעל שלי כבר אינו.
Your husband never existed.	בעלך מעולם לא היה קיים.
Lizzy, I understand why you went after Tom today.	ליזי, אני מבין למה אתה הלך אחרי טום היום.
The instinct to jump in is... [Sighs]	האינסטינקט לקפוץ בהוא... (נאנח)
But it isn't gonna serve you well here.	אבל זה לא הולך ישרת אותך היטב כאן.
And from the emotional point of view, this must feel like an extraordinary violation and betrayal.	ומ נקודת מבט הרגשי, זה בטח מרגיש כמו יוצא דופן פגיעה ובגידה.
But for Tom it was business.	אבל לטום זה היה עסקי.
Do you know we had sex the other night?	האם אתה יודע שאנחנו לא מין באותו הלילה?
Do you have any idea how filthy that makes me feel?	האם יש לך מושג איך מטונף שגורמת לי להרגיש?
Unfortunately, Lizzy, you're chest-deep in filth, and you're gonna have to wade through it	למרבה הצער, ליזי, אתה חזה עמוק בזוהמה, ואתה הולך לי לדשדש זה
- to get to the other side.	- כדי להגיע לצד השני.
- I fell in love with him.	- אני התאהבתי בו.
I married him.	נישא לו.
We... we were gonna have... I was excited to have a child with him.	... היו יש לנו אנחנו הולכים... הייתי נרגש לקבל ילד איתו.
He was the one person I chose in my life who made me happy, who made me feel safe.	הוא היה האדם אחד אני בחרתי בחיים שלי שעשה אותי מאושר, שגרם לי להרגיש בטוח.
What does that say about me?	מה זה אומר עליי?
Everything that we had was just a figment of my imagination... Worse than a figment...	כל מה שהיה לנו היה רק ​​ פרי הדמיון שלי... גרוע מפרי...
A lie.	שקר.
It was right in front of my face, and I didn't see it.	זה היה ממש מול הפנים שלי, , ואני לא רואה את זה.
I just... believed it.	אני פשוט... האמנתי בזה.
All of it.	כל זה.
Time is the only thing that will allow you to find yourself again.	זמן הוא הדבר היחיד שיאפשר לך למצוא את עצמך שוב.
If you tell me to be patient one more time, I swear to God...	אם תגיד לי להיות סבלני עוד פעם אחת, אני נשבע באלוהים... אני הולך למצוא אותו, אני הולך למצוא את התשובות,
I am going to find him, I'm gonna find answers, and I'm going to do it with or without your help.	ואני הולך לעשות את זה עם או בלי העזרה שלך.
[Cellphone vibrating] [Sighs] The case. I need a lead.	(רטט הסלולר) (נאנח) המקרה.
Lizzy, if you want to find where the Pavlovich brothers are, you need to find out where they've been.	ליזי, אם אתה רוצה למצוא בי האחים פאבלוביץ' הם, אתה צריך לברר שבו הם הייתם.
The helicopter is key.	המסוק הוא מפתח.
The Pavlovich brothers burnt that chopper to cover up evidence... DNA, fingerprints.	האחים פבלוביץ' שרוף שמסוק כדי לחפות על ראיות...
Those things might have identified the brothers, but what about the chopper?	הדברים האלה אולי זיהו את האחים, אבל מה עם המסוק?
The tail numbers were falsified, and the chopper was repainted.	מספרי הזנב זויפו, והמסוק היה נצבע מחדש.
That's what they did, but where did they do it?	זה מה שהם עשו, אבל שבו הם עשו את זה?
Is there a deeper forensic analysis we can run?	האם יש ניתוח משפטי עמוק יותר שאנחנו יכולים לרוץ?
What particulates were in the heat exchange?	מה חלקיקים היו בהחלפת החום?
Was there moisture in the compressor?	האם היה לחות במדחס?
I'll reach out to forensics.	אני יהיה להגיע לזיהוי פלילי.
Analyze every drop of fuel.	לנתח כל טיפה של דלק.
Track every grain of sand.	עקוב אחר כל גרגר החול.
I want to know where that chopper's been.	אני רוצה לדעת איפה המסוק שהיה.
That's him.	כלומר אותו.
[Indistinct conversations] [Horn honks]	(CONVERSATIONS לא ברור) (הורן צופר)
I'm sorry, man.	אני מצטער, אחי.
Not for hire.	לא להשכרה.
Hello, Symir.	שלום, Symir.
I'll be brief and to the point.	אני אהיה קצר ולעניין.
Yesterday you had a customer... Picked him up outside the national archives.	אתמול היה לך לקוח... הרים אותו מחוץ ל הארכיונים הלאומיים.
Sorry, man.	מצטער, אחי.
Ohh, Symir.	אוו, Symir.
You should have taken the money.	אתה צריך לקחת את הכסף.
Your passenger...	הנוסעים שלך...
Where'd you drop him?	איפה להוריד אותו?
[Bell tolls]	(צלצל פעמון)
[Chuckles] Calculus.	(מגחך) חדו"א.
I can't even think about derivatives without thinking of that tutor in manor hall... Cindy something-or-other.	אני לא יכול אפילו לחשוב על נגזרי מבלי לחשוב ש המורה באולם אחוזה... סינדי כזה או אחר.
Never wore a brassiere;	לעולם לבש חזייה;
Always a bounce in her step.	תמיד להקפיץ בשלב שלה.
Look, I'm talking, cooperating.	תראה, אני מדבר, משתף פעולה.
You don't need to copy my driver's license, my credit cards.	אתה לא צריך להעתיק את רישיון הנהיגה שלי, כרטיסי האשראי שלי.
We just want to make sure we know where to reach you, Geoffrey P. Seevers, should we have more questions.	אנחנו רק רוצים לוודא אנחנו יודעים איפה להשיג אותך, ג'פרי פ Seevers, צריך יש לנו יותר שאלות.
So, tell me about the book.	אז, לספר לי על הספר.
I told you...	אמר לך...
I pick up and drop off.	אני מרים ולנשור.
I don't know names.	אני לא יודע שמות.
I'm the messenger.	אני השליח.
What is it?	מה זה?
Some kind of code?	איזה קוד?
How many times have you done this... these drops?	כמה פעמים שעשיתם את זה... טיפות אלה?
This was the fourth.	זו הייתה רביעית.
I need you to write down the location of each drop you've made... The pickup and the drop location.	אני צריך שתרשום את מיקומו של כל טיפה שביצעת... טנדר ומיקום הטיפה.
[Chuckling] Oh, my God.	(מצחקק) הו, אלוהים שלי.
What?	מה?
Pagosa Springs public library?	ספרייה ציבורית Pagosa Springs?
I had a water pump go out in Pagosa Springs.	הייתי משאבת מים לצאת בPagosa ספרינגס.
Bitch of a mountain...	כלבה של הר...
Wolf Creek Pass.	Wolf Creek Pass.
Thought I was gonna end up living out there with the hill people until this Teddy bear of a man fixed me up at the local garage.	חשבתי שאני הולך בסופו של דבר החיים בחוץ עם אנשי הגבעה עד דובון זה של גבר סדר לי במוסך המקומי.
I'll never forget him.	אני לעולם לא אשכח אותו.
Tracy Woods.	טרייסי וודס.
You don't know Tracy, do you?	אתה לא יודע טרייסי, נכון?
Leather vest, mustache...	אפוד עור, שפם...
Tracy Woods?	טרייסי וודס?
No. [Laughs]	מס (צוחק)
I wonder if he's still fixing water pumps.	אני תוהה אם הוא עדיין משאבות מים תיקון.
Anyway, it'll always be a fond memory.	בכל אופן, זה יהיה תמיד להיות זיכרון נעים.
The list.	הרשימה.
S-so, that's it?	S-כל כך, כי זה?
We're... What about the package?	אנחנו... מה עם החבילה?
You're gonna deliver it or return it or whatever the people you work for want you to do with it.	אתה הולך לספק אותו או להחזיר אותו או מה שהאנשים שאתה עובד לרוצה שתעשה עם זה.
And as far as you're concerned, we never had this conversation.	וככל מודאגים אתה, לא היה לנו את השיחה הזאת.
Dembe?	Dembe?
A copy, please.	עותק, בבקשה.
I hope you have nothing pressing.	אני מקווה שיש לך שום דבר דחוף.
This may take a minute or three.	זו עשויה להימשך דקה או שלושה.
You sure you don't know him?	אתה בטוח שאתה לא מכיר אותו?
Leather vest, mustache...	אפוד עור, שפם...
Tracy Woods?	טרייסי וודס?
Shame. [Chuckles]	בושה. (מגחך)
- [Indistinct conversations]	- (CONVERSATIONS לא ברור)
- Hey.	- היי.
I got something.	יש לי משהו.
Hey.	היי.
Okay, I never wanted to know this much about gas chromatography or gear lubricants, but I think Mr. Reddington is onto something.	אוקיי, אני אף פעם לא רציתי לדעת את זה הרבה על גז כרומטוגרפיה או חומרי סיכה ציוד, אבל אני חושב שמר רדינגטון הוא עלה על משהו.
Look at this.	תראה את זה.
We pulled the lab reports from the NTSB, and the chopper's engine tested positive for two distinct compounds.	משכנו המעבדה דיווחים מNTSB, והמנוע של המסוק נבחן חיובי לשני מתחמים נפרדים.
The first is ethephon, which is a ripening agent for tobacco.	הראשון הוא ethephon, שהוא סוכן הבשלה לטבק.
- And how does that help us?	- ואיך זה עוזר לנו?
- Take a look.	- תסתכל.
Tobacco production's way down in this area.	דרך של ייצור טבק למטה בתחום זה.
In fact, since 1998, the federal government is actually paying farmers not to grow it.	למעשה, מאז 1998, הממשל הפדרלי הואלמעשהמשלם חקלאים לא לגדל אותו
Okay, but there's still plenty of tobacco farms.	בסדר, אבל עדיין יש שפע של חוות טבק.
I agree, which brings us to chemical compound number two.	אני מסכים, מה שמביא אותנו למספר תרכובת הכימי שתיים.
This one is used to grow sweet corn.	אחד זה משמש לגדל תירס מתוק.
So we cross-reference the two?	אז להצליב שתיים?
Exactly.	בדיוק.
We are looking for a pesticide manufacturer who used to supply tobacco growers but made the transition to corn.	אנחנו מחפשים ליצרנית חומרי הדברה שנהג לספק מגדלי טבק אבל עשה את המעבר לתירס.
And how many of those are there?	וכמה מהם נמצאים שם?
[Breathes deeply] 17. Wait.	(נושמת עמוקה) 17 חכה.
Of those, 11 are outside of the fuel range of this chopper.	מתוכם, 11 נמצאים מחוץ לדלק טווח של המסוק הזה.
Uh, of the other six, uh, only one has a structure large enough to get that stolen helicopter out of view and under construction.	אה, משש האחרים, אה, רק אחד יש מבנה גדול מספיק כדי לקבל את המסוק שנגנב מתוך נוף ובבנייה.
Halifax Agro-Chem.	הליפקס Agro-Chem.
If I had to bet, I'd say that's their staging site.	אם הייתי צריך להמר, הייתי אומר שהוא אתר האחסון הזמני שלהם.
Preston:	פרסטון:
It's around the corner, half a block up.	זה מעבר לפינה, חצי בלוק למעלה.
I make seven exterior cameras, and those are the ones they want us to see.	אני עושה שבע מצלמות חיצוניים, ואלה הם אלה שהם רוצים לראות אותנו.
And it's on the list of drop sites I gave you?	וזה על רשימת אתרי טיפה שנתתי לך?
Yes.	כן.
How long has Mr. Keen been inside?	כמה זמן יש מר קין היית בפנים?
I tailed him here four hours ago.	עקבתי אחריו כאן לפני ארבע שעות.
Lovely.	יפה.
Thank you, Preston.	תודה לך, פרסטון.
- You want me to call Sabusawa?	- אתה רוצה שאני אתקשר Sabusawa?
- That would be ideal, but he's working an extraction in Ecuador.	- זה יהיה אידיאלי, אבל הוא עובד חילוץ באקוודור.
Then how do you plan on getting keen out of that concrete box?	אז איך אתה מתכנן על מקבל להוט מתוך שתיבת הבטון?
[Chuckles] [Sighs]	(מגחך) (נאנח)
[Cellphone vibrating]	(רטט הסלולר)
- We have a lead on Xiaoping Li.	- יש לנו את יתרון שביאופינג לי.
- Red:	- אדום:
Excellent.	מצוין.
- Tell me. - We think she's being held at Halifax Agro-Chem in Falls Church.	- אנחנו חושבים שהיא מוחזקת בהליפקס Agro-Chem בפולס צ'רץ'.
