Previously on "The Blacklist"...	Anteriormente en "The Blacklist"...
Lizzy, wait, wait, wait.	Lizzie, espera, espera, espera.
What are you do...	¿Qué estás ha...?
Not now.	Ahora no.
The boat...	¿El bote?
How long for the boat?	¿Cuánto falta para el bote?
No.	No.
No.	No.
Please, no.	Por favor, no.
Tom?	¿Tom?
Tom?	¿Tom?
I'm in the dining room.	Estoy en el comedor.
Where'd you get that thing?	¿Dónde conseguiste eso?
I was gonna ask you the same question.	Te iba a hacer la misma pregunta.
I found it in the basement.	Lo encontré en el sótano.
That's where that was.	Ahí era que estaba.
I've been looking for it.	Lo estaba buscando.
My father gave it to me.	Mi padre me lo dio.
It's beautiful.	Es precioso.
It's in great condition, too.	Está en muy buenas condiciones.
It looks almost new.	Parece casi nuevo.
Why haven't I seen this before?	¿Por que no lo he visto antes?
Your pot is gonna boil over.	Tu olla va a hervir.
You're cooking?	¿Estás cocinando?
I thought we were going out for thai.	Creí que ibamos a salir por comida thai.
Yeah, well, I just thought it might be nice, you know, to stay home alone... Just you and me.	Es solo que pensé que sería lindo, ya sabes, quedarnos en casa solos... solo tú y yo.
How was your day?	¿Cómo estuvo tu día?
It was exhausting.	Estuvo cansado.
You know Billy Salter?	¿Conoces a Billy Salter?
He was acting up again 'cause his mom keeps packing these fruit roll-ups, and they give him this satanic sugar high, you know.	Estuvo actuando nuevamente porque su madre sigue poniéndole estos rollos de fruta, y le dan esta excitación satánica de azúcar, ya sabes.
So...	Así que...
Oh, uh, I did stop by the national archives just to maybe book a field trip for the kids.	Me detuve en archivos nacionales solo para tal vez reservar un día de campo para los niños.
It's funny.	Es gracioso.
I, uh... I could have sworn that I saw you there.	Yo... podría haber jurado que te vi ahí.
There was a woman there, and she looked just like you.	Había una mujer allí, y se parecía a ti.
Ah, no, I wish.	No, ojalá.
I was cooped up in the office all day.	Estuve todo el día encerrada en la oficina.
Yeah.	Sí.
Should have known.	Debería haberlo sabido.
Well, whoever she was, she could not have been half as beautiful as you are right now.	Bueno, quienquiera que fuera, ella no podría haber sido la mitad de lo hermosa que estás en este momento.
All right.	Bien.
Uh, keep stirring.	Sigue revolviendo.
I'm gonna walk the dog.	Voy a sacar a pasear al perro.
Come on, bud. Hey, hey, hey.	Vamos, amigo.
Come here.	Ven aquí.
Hey, hey, hey. Where you going?	Oye, oye, oye. ¿A dónde vas?
Come here.	Ven acá.
Come here.	Ven acá.
Yes, you're a good boy.	Eres un buen chico.
Yes, you are.	Sí, lo eres.
Yes, you are.	Sí, lo eres.
What?	¿Qué?
Nothing.	Nada.
Love you.	Te amo.
- I'll be right back.	- Ya regreso.
Come on, bud.	Vamos, amigo.
- Come on.	- Vamos.
Come on.	Vamos.
Such a good boy.	Eres un muy buen chico.
You're a good boy.	Eres un buen chico.
Yes, yes, yes.	Sí, sí, sí.
Bantam finance.	Finanzas Bantam.
How may I direct your call?	¿A dónde transfiero su llamada?
Hi.	Hola.
I'm having a problem with my account.	Tengo un problema con mi cuenta.
Uh, number Delta, Sierra, 4-5-1.	Número DS451.
Line is secure.	La línea es segura.
Proceed.	Proceda.
Mockingbird knows.	Ruiseñor lo sabe.
Requesting immediate evac.	Solicito evacuación inmediata.
She knows.	Ella lo sabe.
He's gone.	Él se fue.
My husband is gone.	Mi esposo se fue.
Your husband never existed.	Tu esposo nunca existió.
Lizzy, I understand why you went after Tom today.	Lizzy entiendo por qué fuistes tras Tom hoy.
The instinct to jump in is... But it isn't gonna serve you well here.	El instinto de arriesgarse es... pero no te va a servir aquí.
And from the emotional point of view, this must feel like an extraordinary violation and betrayal.	Y desde el punto de vista emocional esto debe sentirse como una traición y violación extraordinaria.
But for Tom it was business.	Pero para Tom solo fueron negocios.
Do you know we had sex the other night?	¿Sabes que tuvimos sexo la otra noche?
Do you have any idea how filthy that makes me feel?	¿Tienes alguna idea de lo sucia que me hace sentir eso?
Unfortunately, Lizzy, you're chest-deep in filth, and you're gonna have to wade through it	Desafortunadamente, Lizzy, estás metida hasta el pecho de suciedad y vas a tener que atravesarlo dificultosamente
- to get to the other side.	- para llegar al otro lado.
- I fell in love with him.	- Me enamoré de él.
I married him.	Me casé con él.
We... we were gonna have...	Nosotros íbamos a tener...
I was excited to have a child with him.	Estaba emocionada con tener un hijo con él.
He was the one person I chose in my life who made me happy, who made me feel safe.	Él fue la única persona que escogí en mi vida que me hizo feliz, que me hizo sentir segura.
What does that say about me?	¿Qué es lo que dice de mí?
Everything that we had was just a figment of my imagination...	Todo lo que teníamos era solo una ilusión...
Worse than a figment... A lie.	Peor que una ilusión... una mentira.
It was right in front of my face, and I didn't see it.	Estuvo frente a mi cara, y no lo vi.
I just... believed it.	Yo solo... lo creí.
All of it.	Todo.
Time is the only thing that will allow you to find yourself again.	El tiempo es la única cosa que te permitirá encontrarte contigo misma otra vez.
If you tell me to be patient one more time, I swear to God...	Si me dices que sea paciente una vez más, te juro por Dios...
I am going to find him, I'm gonna find answers, and I'm going to do it with or without your help.	Lo voy a encontrar, voy a encontrar respuestas, y lo voy a hacer con o sin tu ayuda.
The case.	El caso.
I need a lead.	Necesito una pista.
Lizzy, if you want to find where the Pavlovich brothers are, you need to find out where they've been.	Lizzy, si quieres encontrar donde están los hermanos Pavlovich, necesitas descubrir donde han estado.
The helicopter is key.	El helicóptero es la clave.
The Pavlovich brothers burnt that chopper to cover up evidence...	Los hermanos Pavlovich quemaron ese helicóptero para cubrir evidencia...
DNA, fingerprints.	ADN, huellas.
Those things might have identified the brothers, but what about the chopper?	Esas cosas podrían haber identificado a los hermanos, ¿pero qué hay del helicóptero?
The tail numbers were falsified, and the chopper was repainted.	Los números de la cola fueron falsificados y el helicóptero fue repintado.
That's what they did, but where did they do it?	Eso fue lo que hicieron, ¿pero dónde?
Is there a deeper forensic analysis we can run?	¿Hay algún análisis forense más detallado que podamos hacer?
What particulates were in the heat exchange?	¿Qué partículas había en el intercambio de calor?
Was there moisture in the compressor?	¿Había humedad en el compresor?
I'll reach out to forensics.	Investigaré con los forenses.
Analyze every drop of fuel.	Analiza cada gota de gasolina.
Track every grain of sand.	Sigue cada grano de arena.
I want to know where that chopper's been.	Quiero saber dónde ha estado ese helicóptero.
That's him.	Es el suyo.
I'm sorry, man.	Lo siento, viejo.
Not for hire.	No estoy para contratar.
Hello, Symir.	Hola Symir.
I'll be brief and to the point.	Seré breve e iré directo al grano.
Yesterday you had a customer... Picked him up outside the national archives.	Ayer tuviste un cliente... lo recogiste fuera de los archivos nacionales.
Sorry, man.	Lo siento, viejo.
Ohh, Symir.	Oh, Symir.
You should have taken the money.	Deberías haber agarrado el dinero.
Your passenger... Where'd you drop him?	Tu pasajero... ¿dónde lo dejaste?
Calculus.	Cálculo.
I can't even think about derivatives without thinking of that tutor in manor hall...	Ni siquiera puedo pensar en derivados sin recordar a esa tutora en Manor Hall...
Cindy something-or-other.	Cindy o algo así.
Never wore a brassiere;	Nunca usó un sostén.
Always a bounce in her step.	Siempre un rebote en sus pasos.
Look, I'm talking, cooperating.	Mira, estoy hablando, cooperando.
You don't need to copy my driver's license, my credit cards.	No necesitas copiar mi licencia de conducir, o mis tarjetas de crédito.
We just want to make sure we know where to reach you,	Solo queremos asegurarnos de saber donde localizarte,
Geoffrey P. Seevers, should we have more questions.	Geoffrey P. Seevers, deberíamos tener más preguntas.
So, tell me about the book.	Entonces dime acerca del libro.
I told you... I pick up and drop off.	Se los dije... solo lo recogí y lo dejé.
I don't know names.	No sé nombres.
I'm the messenger.	Solo soy el mensajero.
What is it?	¿Qué es?
Some kind of code?	¿Alguna clase de código?
How many times have you done this... these drops?	¿Cuántas veces has hecho estos encargos?
This was the fourth.	Este fue el cuarto.
I need you to write down the location of each drop you've made...	Necesito que escribas el lugar de cada entrega que has hecho...
The pickup and the drop location.	El lugar de recepción y de entrega.
Oh, my God. What?	Oh, Dios mío. ¿Qué?
Pagosa Springs public library?	¿La biblioteca pública de Pagosa Springs?
I had a water pump go out in Pagosa Springs.	Tuve una falla con la bomba de agua en Pagosa Springs.
Bitch of a mountain...	Una montaña desgraciada...
Wolf Creek Pass.	Wolf Creek Pass.
Thought I was gonna end up living out there with the hill people until this Teddy bear of a man fixed me up at the local garage.	Creí que iba a terminar viviendo con la gente de la montaña hasta que este oso Teddy de hombre me la arregló en el garage local
I'll never forget him.	Nunca lo olvidaré.
Tracy Woods.	Tracy Woods
You don't know Tracy, do you?	¿No conoces a Tracy, no?
Leather vest, mustache... Tracy Woods?	Chaleco de cuero, bigote ¿Tracy Woods?
No.	No
I wonder if he's still fixing water pumps.	Me pregunto si sigue arreglando bombas de agua.
Anyway, it'll always be a fond memory.	Como sea, siempre sera un lindo recuerdo.
The list.	La lista.
S-so, that's it?	Y, ¿es todo?
We're...	, Estamos...
What about the package?	¿Que hay del paquete?
You're gonna deliver it or return it or whatever the people you work for want you to do with it.	Vas a entragarlo o devolverlo o lo que sea que quiera la gente para la que trabajas que hagas.
And as far as you're concerned, we never had this conversation.	Y en lo que a ti concierne, nosotros nunca tuvimos esta conversación.
Dembe?	¿Demde?
A copy, please.	una copia, por favor.
I hope you have nothing pressing.	Espero que no tengas nada urgente.
This may take a minute or three.	Esto tomara un minuto o tres
You sure you don't know him?	¿Seguro que no le conocías?
Leather vest, mustache... Tracy Woods?	Chaleco de cuero, bigote ¿Tracy Woods?
Shame.	Vergüenza.
Hey.	Oye
I got something.	Tengo algo.
Hey. Okay, I never wanted to know this much about gas chromatography or gear lubricants, but I think Mr. Reddington is onto something.	Esta bien nunca quise saber tanto acerca cromatografía de gases o lubricante para tuercas pero creo que el señor Reddington esta tras algo.
Look at this.	Mira esto.
We pulled the lab reports from the NTSB, and the chopper's engine tested positive for two distinct compounds.	Conseguimos los resultados del laboratorio de NTSB, y el examen del motor del helicóptero salió positivo para dos compuestos distintos
The first is ethephon, which is a ripening agent for tobacco.	El primero es ethepon, que es un agente de crecimiento para el tabaco.
- And how does that help us?	¿Y cómo nos ayuda eso?
- Take a look.	Mira.
Tobacco production's way down in this area.	La producción de tabaco es muy baja en esta area.
In fact, since 1998, the federal government is actually paying farmers not to grow it.	De hecho, desde 1998, el gobierno federal ha estado pagando a los granjeros para que no lo cultiven.
Okay, but there's still plenty of tobacco farms.	Bueno, pero todavía hay un montón de granjas de tabaco.
I agree, which brings us to chemical compound number two.	Estoy de acuerdo, lo que nos lleva al compuesto número dos.
This one is used to grow sweet corn.	Este es usado para cultivar maiz.
So we cross-reference the two?	¿Entonces relacionamos los dos?
Exactly.	Exacto.
We are looking for a pesticide manufacturer who used to supply tobacco growers but made the transition to corn.	Estamos buscando a un productor de pesticidas Que solía abastecer a cultivadores de tabaco pero que hizo la transición a maíz.
And how many of those are there?	¿Y cuantos de esos hay?
17. Wait.	17 Espera.
Of those, 11 are outside of the fuel range of this chopper.	De esos, 11 estan fuera del rango de combustible de este helicóptero
Uh, of the other six, uh, only one has a structure large enough to get that stolen helicopter out of view and under construction.	De los otros seis, Solo uno tiene una estructura lo suficientemente larga para conseguir ese helicóptero robado fuera de vista y bajo construcción.
Halifax Agro-Chem.	Halifax Agro-Chem
If I had to bet, I'd say that's their staging site.	Si tuviera que apostar diría que ese es su lugar de planeamiento.
It's around the corner, half a block up. I make seven exterior cameras, and those are the ones they want us to see.	Está a la vuelta de la esquina, medio bolque arriba y esas son las que quieren que veamos.
And it's on the list of drop sites I gave you?	¿Y está en la lista de los lugares de bajadas que te di?
Yes.	Si.
How long has Mr. Keen been inside?	¿Cuánto tiempo ha estado adentro el Sr. Keen?
I tailed him here four hours ago.	Lo seguí aquí hace cuatro horas.
Lovely.	Encantador.
Thank you, Preston.	Gracias, Preston.
- You want me to call Sabusawa?	-¿Quieres que llame a Sabusawa?
- That would be ideal, but he's working an extraction in Ecuador.	-Eso seria ideal pero está trabajando en una extracción en Ecuador.
Then how do you plan on getting keen out of that concrete box?	¿Entonces como planeas sacar a Keen de esa caja de concreto?
- We have a lead on Xiaoping Li.	-Tenemos informacion de Xiaoping Li
- Excellent.	-Exelente
- Tell me.	-Dime
- We think she's being held at Halifax Agro-Chem in Falls Church.	-Creemos que esta detenido en Halifaz Agro-Chem en Falls Church.
We're assembling a team.	Estamos montando un equipo
Lizzy, about Tom...	Lizzy, acerca de Tom...
I don't want to talk about Tom with you.	No quiero hablar de Tom contigo.
You have your opinion on how to proceed, and I have mine.	Tu tienes tu opinión en como proceder, y yo tengo la mía.
Just don't bother yourself. I'll deal with Tom.	Solo no te molestes a ti misma Yo me encargare de Tom.
Lizzy, I assure you that will yield no answers and little satisfaction.	Lizzy, te aseguro que eso producirá ninguna respuesta y poca satisfacción.
Well, I'll find out, won't I?	¿Bueno, ya lo descubriré, no?
I wish I could talk you out of this.	Desearía poder convencerte fuera de esto
You can't.	No puedes
Well, good luck with Xiaoping...	Bien, suerte con Xiaoping...
Good afternoon, gentlemen.	Caballero, buenas tardes.
I'm Raymond Reddington.	Soy Raymond Reddington.
Hey. Look at this.	Oye, mira esto.
What are we looking at?	¿Que estamos viendo?
I have no idea.	No tengo idea.
Hey!	¡Oye!
Get out of here!	¡Lárgate de aquí!
Go!  What the hell was that?	¡Ve! ¿Que demonios fue eso?
Out!	¡Afuera!
Out!	¡Afuera!
Move!	¡Muévanse!
Move!	¡Muévanse!
Move!	¡Muévanse!
Fall back. Asset en route.	Retrocedan Activo en ruta.
We're moving to the cars.	Nos movemos a los autos.
- - -	Quiero decir, parece algún tipo de número serial.
Or an atomic number...	O un número atómico...
Something from a periodic table.	Algo de la tabla periódica.
Why do you think that?	¿Por qué piensas eso?
Because the only word I know that contains the letters "v-g" together is avgolemono.	Porque la única palabra que conozco que contiene las letras "v-g" juntas es el "avgolemono".
I don't know what that is.	No sé que es eso.
It's a soup.	Es una sopa.
Chicken stock, egg yolks, and lemon juice.	Caldo de pollo, yema de huevo, y jugo de limón.
What?	¿Qué?
I cook.	Yo cocino.
The point is, maybe Xiaoping Li left us a message.	El punto es, quizás Xiaoping Li nos mandó un mensaje.
I'll run the letter combination against the DMV registry	Buscaré la combinación de letras en el registro DMV
- and see if we can get a hit.	- y veamos si acertamos.
- Any luck?	- ¿Algo de suerte?
- I can't get ahold of Reddington.	-No puede ponerme en contacto con Reddington -¿Le dijistes la ubicación donde
- You told him the location where the brothers were holding Xiaoping Li, right?	Los hermanos tenían a Xiaoping Li, cierto?
- Mm-hmm. - Don't you find it a hell of a coincidence that we show up there, they're gone, and now we can't get ahold of Reddington?	-No lo encuentras una gran coincidencia que aparecemos aquí, ellos no estan y ahora no podemos ponernos en contacto con Reddington.
- We've been played.	-Nos ha engañado
- No.	-No
Red put us on to the Pavlovich brothers because he knew it would lead him straight to Xiaoping Li.	Red nos informó de los hermanos Pavlovich porque sabía que lo llevría derecho hacia Xiaoping Li.
That woman's worth millions.	Esa mujer vale millones
Where are you going?	¿A donde vas?
I'm going to find Reddington, get some answers.	Voy a encontrar a Reddington, a conseguir algunas respuestas.
Reddington, I need you to call me, please.	Reddington, necesito que me llames, por favor.
I need some help with the case.	Necesito ayuda con el caso.
A gift from Reddington.	Un regalo de Reddington.
Enjoy.	Disfrútalo.
Two years wasted.	Dos años perdidos.
Two years we spent. On what?	Dos años que gastamos. ¿En que?
Do you care at all what you've done to me...	Te importa en lo mas minimo lo que me has hecho...
What you've done to my life?	Lo que le has hecho a mi vida
What has it done to you?	¿Que se te ha hecho a ti?
Who could do such a thing?	¿Quien podria hacer algo asi?
Finding you, stopping you...	Encontrandote, Deteniendote..
You'd think I'd be happy you're gonna spend the rest of your life in prison.	Creerías que estaría Feliz Vas a pasar el resto de tu vida en prisión
You'd think I'd get some satisfaction out of that, but I don't because nothing...	Creerías que tendría alguna satisfacción de esto Pero no la tengo, porque nada..
No sentence, no punishment, no revenge, could ever come close to making up for what you've done.	Ninguna palabra, ningún castigo ni venganza Podría acercarse a compensar lo que has hecho.
- I was doing my job.	-Estaba haciendo mi trabajo.
- Your job?	-¿Tu trabajo?
That was our life!	¡Eso era tu vida!
We were going to have a baby to...	Ibamos a tener un bebé..
You begged me to have a baby!	¡Tu me rogaste tener un bebé!
- I was doing my job. - Stop talking about your job!	-Estaba haciendo mi trabajo -¡Deja de hablar de tu trabajo!
You, this... Everything was a lie!	Tú, esto ¡Todo era una mentira!
My life was a lie!	¡Mi vida era una mentira!
Every feeling, every memory...	Cada sentimiento, cada memoria..
Say something to your wife, who's dying in front of you.	Dile algo a tu esposa que está muriendo enfrente tuyo
Say something.	Dí algo.
It was the shoes.	Fueron los zapatos.
What does that mean?	¿Eso qué significa?
That's when I knew.	Fue entonces cuando lo supe.
It was those brown leather shoes.	Fueron esos zapatos marrones de cuero.
It was our third or maybe fourth date.	Fue durante nuestra tercera o cuarta cita.
