Previously on "The Blacklist"...	سابقا في "القائمة السوداء"...
A month later, she was jailed for treason.	بعد شهر، تم سجنها بتهمة الخيانة.
She's scheduled to land at Andrews in an under an hour, and we have a team standing by to escort her to Langley	من المقرر أن تهبط في مطار "آندروز" خلال أقل من ساعة، ولدينا فريق على أهبة الإستعداد لمرافقتها إلى "لانغلي"
- for a debriefing.	-لإستخلاص المعلموات .
- We got to assume that the Pavlovich brothers already know the route.	-علينا أن نفترض أن الإخوة "بافلوفيتش" يعرفون الطريق سلفا.
Well, then we'll reroute her. Bring her here.	حسنا، حينها سنعيد توجيهها وإحضارها إلى هنا.
Coordinate the adjustment with Langley.	نسقوا التعديل مع "لانغلي"
Echo to tango. Uh, asset at drop point.	من "إيكو" إلأى "تانغو" الهدف في المنطقة المحددة.
Roger. 30 seconds to rendezvous.	"روجر"، 30 ثانية على الموعد.
- This way. Quickly.	-من هنا، بسرعة .
- What's going on?	-ماذا يحدث؟
They said I'd be safe once I arrived.	قالوا أنني سأكون بأمان عندما أصل.
We have a credible threat you're being targeted.	لدينا تهديد موثوق أنت مستهدفة.
As a precaution, we've altered our route.	كإجراء وقائي، قمنا بتغيير طريقنا.
Get her up to the chopper.	اجعلها على متن المروحية.
Donald Ressler. FBI. Where's the asset?	(دونالد ريسلر)، المباحث الفدرالية أين هي؟
- Ground transport's been arranged.	-لقد تم ترتيب نقل أرضي .
- Negative.	-سلبي .
Evac's been compromised. Moving to beta proto...	تم اختراق "إيفاك"، انتقال إلى البرتوكول التجربيبي..
Call it in.	قم بالتبليغ
All right. Okay. Copy that.	حسنا، علم
Anne Arundel county sheriff's department's reporting a downed aircraft burning two miles outside of Crofton.	قائد شرطة مقاطعة "آن آروندل" بلغ عن سقوط واحتراق طائرة ميلين خارح "كروفن".
There's no witnesses on the ground.	لا يوجد هناك شهود عيان.
We do have units en route. It's got to be the dump site	لدينا وحدات في الطريق، يجب أن يكون موقع التفريغ
- on this chopper.	-لهذه المروحية .
- They knew CIA protocol...	-كانوا يعلمون بشأن بروتوكول وكالة الإستخبارات المركزية ..
That if the routes were compromised, they'd send in air support.	أنه لو كشفت الطرق، سيقومون بإرسال دعم جوي، هؤلاء الرجال لم ستندوا محليا.
These guys weren't based domestically. They snuck in, and they're gonna sneak out.	لقد تسللوا وهم داخلون، وسيتسللون وهم خارجين.
We should coordinate with homeland, get their faces everywhere.	يجب علينا التنسيق مع وزارة الأمن الداخلي، وزعوا صورهم في كل مكان.
Agent Malik, you want to tell me why the director of national intelligence is calling?	أيتها العميلة (ماليك)، هلاَّ أخبرتني لماذا يتصل مدير الإستخبارات؟
What don't I know about this case?	ماذا أجهل حول هذه القضية؟
The program li was working on...	البرنامج الذي كانت تعمل (لي) عليه...
It's germ weaponry...	هو سلاح جرثومي...
Banned by nearly every nation on Earth.	تم حظره من كل الدول على الأرض.
It's called Whitefog.	يسمى "الضباب الأبيض".
Day before she was jailed, Xiaoping Li sent a message indicating that she had access to the designs.	قبل أيام من اعتقالها أرسلت (لي) رسالة مشيرة من خلالها أنها تمكنت من الولوج للتصاميم.
If she did, and she shared those with us, that would represent the biggest intelligence coup in a decade.	لو فعلت وتشاركتها معنا، ذلك من شأنه أن يمثل أكبر انقلاب استخباراتي خلال عقد من الزمن.
A germ-warfare program?	برنامج حرب جرثومية؟
That's why the Chinese can't turn this into an international incident.	لهذا لا يمكن للصينيين قلب هذا إلى حادث دولي.
- Where are you?	-أنت أنت؟
- Busy.	-مشغولة .
The brothers...	الإخوة..
They took Xiaoping Li.	لقد أخدوا (شاوبينغ لي)
How do you know?	كيف تعرف؟
Do you have a lead?	هل لديك خيط؟
Something we can...	شيء يمكننا...
- Your husband is not in school.	-زوجك ليس في المدرسة .
- Wait. What?	مهلا، ماذا؟
Where is he?	أين هو؟
Meet me at 9th and Constitution.	قابليني عند شارع الدستور
Reddington says he has a lead on the brothers. Wants to talk.	(ريدينغتون) يقول أنه لديه دليل على مكان الإخوة، يريد التحدث.
Let me know what NTSB says about that downed aircraft.	أعلموني بما تقوله هية سلامة النقل بخصوص تلك الطائرة الساقطة.
Called in sick this morning.	بلغ أنه مريض هذا الصباح.
Returned home briefly before making a stop at the Radford Bank in Adams Morgan.	عاد للبيت لفترة وجيزة قبل أن يقوم بتوقف فعند"بنك راتفورد" في "آدامز مورغان".
He's made three phone calls...	لقد قام بثلاتة مكالمات هاتفية..
All from pay phones.	كلها من هاتف مدفوع.
He's been sitting at that cart for nearly an hour.	لقد كان يحلس في تلك العربة لمدة ساعة تقريبا.
I'm sorry, Lizzy.	أنا آسف (ليزي).
Don't be.	لا تكن كذلك.
This must be difficult.	لا بد وأن هذا صعب.
You want to know what's hard?	أترغب في معرفة ما هو الأصعب؟
Sitting here when all I really want to do is get my hands around his throat.	الحلوس هنا بينما كل ما أريد القيام به هو وضع يدي حول رقبته.
- Shouldn't we follow him?	-أليس علينا اللحاق به؟
- We are.	-نحن كذلك .
They all work for you.	جميعهم يعملون عندك
Lizzy, wait, wait, wait.	ليزي)، مهلا، مهلا، مهلا...
What are you do...	ماذا تريدين...
Not now.	ليس الآن.
The boat...	القارب..
How long for the boat?	كم يبعد القارب؟
No. No. Please, no.	لا، لا، من فضلك، لا.
Tom?	(توم)؟
Tom?	(توم)؟
I'm in the dining room.	أنا في غرفة الطعام
Where'd you get that thing?	من أين لك بذلك الشيء؟
I was gonna ask you the same question.	كنت سأسألك السؤال نفسه؟
I found it in the basement.	وجدته في القبو
That's where that was. I've been looking for it.	هناك حيث كان، لقد كنت أبحث عنه.
My father gave it to me.	والدي أعطاني إياه.
It's beautiful.	إنه رائع.
It's in great condition, too. It looks almost new.	إنه في حالة جيدة أيضا، يبدو جديدا كليا.
Why haven't I seen this before?	لم لم أر هذا الشيء من قبل؟
Your pot is gonna boil over.	وعاؤك الخاص سيغلى
You're cooking?	هل تطبخ؟
I thought we were going out for thai.	اعتقدت أننا سنذهب إلى ذلك المطعم التايلندي.
Yeah, well, I just thought it might be nice, you know, to stay home alone...	نعم، حسنا، اعتقد أنه ربما سيكون أمرا لطيفا، كما تعلمين، أن نبقى في البيت لوحدنا..
Just you and me.	أنت وأنت فقط.
How was your day?	كيف كان يومك؟
It was exhausting.	لقد كان مجهدا
You know Billy Salter?	أتعرفين (بيلي سالتر)؟
He was acting up again 'cause his mom keeps packing these fruit roll-ups, and they give him this satanic sugar high, you know.	كان يمثل مرة أخرى لأن والدته تواصل تعبئة تلك الفاكهة... يسببون له ارتفاعا رهيبا في السكر، لذا...
Oh, uh, I did stop by the national archives just to maybe book a field trip for the kids.	لقد توقفت عند الأرشيف الوطني ربما لحجز رحلة ميدانية للأطفال.
It's funny. I, uh...	إنه أمر مضحك...
I could have sworn that I saw you there.	يمكنني أن أقسم أنني رأيتك هناك
There was a woman there, and she looked just like you.	كانت هناك امرأة وكانت تبدو تماما مثلك.
Ah, no, I wish. I was cooped up in the office all day.	أتمنى ذلك، لكنني كنت محبوسة في المكتب طول اليوم.
Yeah.	نعم
Should have known.	كان يجب أن أعلم بذلك
Well, whoever she was, she could not have been half as beautiful as you are right now.	حسنا، مهمن تكن، لا يمكنها أن تكون بنصف جمالك الآن.
All right. Uh, keep stirring.	حسنا، واصلي التحريك
I'm gonna walk the dog.	سأقوم بإخراج الكلب.
Come on, bud. Hey, hey, hey.	هيا يا صديقي...
Come here.	هيا
Hey, hey, hey. Where you going?	إلى أين أنت ذاهب؟
Come here. Come here.	تعال هنا، تعال هنا.
Yes, you're a good boy.	نعم أنت كلب مطيع..
Yes, you are.	بالتأكيد أنت كذلك
Yes, you are.	أنت كذلك
What?	ماذا؟
Nothing.	لا شيء
Love you.	أحبك
- I'll be right back.	-سأعود في الحال..
Come on, bud. - Come on.	هيا يا صديقي
Come on.	هيا..
Such a good boy.	كلب مطيع
Bantam finance. How may I direct your call?	"بانتام" للتمويل، كيف يمكنني توجيه مكالمتك؟
Hi. I'm having a problem with my account.	مرحبا، لدي مشكلة مع حسابي
Uh, number Delta, Sierra, 4-5-1.	رقم: "ديلتا،سييرا، 4-5-1"
Line is secure. Proceed.	الخط آمن، أكمل
Mockingbird knows. Requesting immediate evac.	الطائر المحاكي يعلم، طلب الإخلاء حالا.
She knows.	إنها تعلم.
He's gone.	لقد ذهب.
My husband is gone.	لقد ذهب زوجي
Your husband never existed.	زوجك لم يكن له وجود من قبل.
Lizzy, I understand why you went after Tom today.	(ليزي)، أنا أفهم لم مشيت وراء (توم) اليوم
The instinct to jump in is...	تلك الغريزة هي..
But it isn't gonna serve you well here.	لكنها لن تخدم مصلحتك هنا.
And from the emotional point of view, this must feel like an extraordinary violation and betrayal.	ومن وجهة النظر العاطفية، لابد أن يكون هذا مثل انتهاك وخيانة غير عاديين.
But for Tom it was business.	لكن هذا بالنسبة لـ(توم) كان عملا.
Do you know we had sex the other night?	هل تعلم أننا مارسنا الجنس تلك الليلة؟
Do you have any idea how filthy that makes me feel?	هل لديك أدنى فكرة عن القذارة التي أشعر بها؟
Unfortunately, Lizzy, you're chest-deep in filth, and you're gonna have to wade through it	للأسف (ليزي)، أنت منغمسة في القذارة وعليك أن تبحري خلاله
- to get to the other side.	-للوصول للناحية الأخرى .
- I fell in love with him.	-لقد وقعت في حبه .
I married him.	لقد تزوجته.
We... we were gonna have...	نحن... كنا سنحظى...
I was excited to have a child with him.	لقد متحمسة لأن يكون لدي طفل برفقته.
He was the one person I chose in my life who made me happy, who made me feel safe.	لقد كان الشخص الوحيد الذي اخترته في حياتي والذي جعلني سعيدة، جعلني أحس بالأمان.
What does that say about me?	ماذا يخبر ذلك بشأني؟
Everything that we had was just a figment of my imagination...	كل ما كان لدينا كان فقط من نسج خيالي...
Worse than a figment...	أسوأ من خيال..
A lie.	كذبة.
It was right in front of my face, and I didn't see it.	كانت أمامي مباشرة، ولم أستطع رؤيتها.
I just... believed it.	لقد.. صدقتها فحسب.
All of it.	جميعها.
Time is the only thing that will allow you to find yourself again.	الوقت وحده الكفيل بأن يتيح لك إيجاد نفسك من جديد.
If you tell me to be patient one more time, I swear to God...	لو أخبرتني أن أصبر مرة أخرى أقسم بالله...
I am going to find him, I'm gonna find answers, and I'm going to do it with or without your help.	سأعثر عليه وأتبين الأجوبة وسأقوم بذلك سواء بمساعدتك أو بدونها.
The case.	لالقضية..
I need a lead.	أحتاج إلى دليل.
Lizzy, if you want to find where the Pavlovich brothers are, you need to find out where they've been.	(ليزي)، لز أردت معرفة مكانة الإخوة "بافلوفيتش"، عليك أن تكتشفي أين كانوا..
The helicopter is key.	المروحية هي مفتاح.
The Pavlovich brothers burnt that chopper to cover up evidence...	أحرق الإخوة "بافلوفيتش" تلك المروحية لتغطية أدلة..
DNA, fingerprints.	حمض نووي، بصمات أصابع.
Those things might have identified the brothers, but what about the chopper?	ربما تحدد تلك الأشياء الإخوة، لكن ماذا بشأن المروحية؟
The tail numbers were falsified, and the chopper was repainted.	لقد تم تزوير رقم الذيل، وتم إعادة طلاء المروحية.
That's what they did, but where did they do it?	هذا ما قاموا به، لكن أين قاموا بذلك؟
Is there a deeper forensic analysis we can run?	هل هناك تحليل أعمق للطب الشرعي يمكننا الخوض فيه؟
What particulates were in the heat exchange?	ما هي الجسيمات التي كانت في التبادل الحراري؟
Was there moisture in the compressor?	هل كانت هناك رطوبة في المحرك؟
I'll reach out to forensics.	سأصل للطب الشرعي
Analyze every drop of fuel. Track every grain of sand.	حللوا كل قطرة من الوقود، تتبعوا كل حبة رمل.
I want to know where that chopper's been.	أريد أن أعرف أين كانت تلك المروحية
That's him.	إنه هو.
I'm sorry, man. Not for hire.	آسف يا رجل، ليست للتأجير
Hello, Symir. I'll be brief and to the point.	مرحبا (سمير)، سأختصر حديثي وأمر مباشرة للموضوع.
Yesterday you had a customer...	بالأمس كان لديك زبون...
Picked him up outside the national archives.	نقلته خارج الأرشيف الوطني
Sorry, man.	آسف يا رجل
Ohh, Symir.	(سمير)...
You should have taken the money.	كان عليك أخد المال.
Your passenger...	راكبك..
Where'd you drop him?	إلى أين نقلته؟
Calculus.	الحساب...
I can't even think about derivatives without thinking of that tutor in manor hall...	لا أستطيع التفكير حتى في المشتقات بدون التفكير في ذلك المعلم في قاعة القصر...
Cindy something-or-other.	سيندي.. شيء أو آخر
Never wore a brassiere; Always a bounce in her step.	لم تكن ترتدي حمالة، هناك دائما ارتداد في خطاها.
Look, I'm talking, cooperating.	حسنا، أنا أتحدث وأتعاون
You don't need to copy my driver's license, my credit cards.	ليس عليك نسخ رخصة سياقتي بطائقي الإئتمانية
We just want to make sure we know where to reach you,	نريد فقط التأكد أننا نعلم أين يمكن أن نجدك
Geoffrey P. Seevers, should we have more questions.	(جوفري ب. سيفرز) هل يجب أن نسأل المزيد؟
So, tell me about the book.	حسنا، أخبرني بشأن الكتاب.
I told you...	لقد أخبرتك..
I pick up and drop off.	قمت بعملية النقل فقط
I don't know names. I'm the messenger.	أنا لا أعرف أية أسماء، أنا مجرد مرسول.
What is it?	ما هذا؟
Some kind of code?	شفرة من نوع ما؟
How many times have you done this... these drops?	كم مرة قمت بهذه العملية..
This was the fourth.	كانت هذه هي المرة الرابعة.
I need you to write down the location of each drop you've made...	أريد أن تقوم بتدوين موقع كل عملية نقل قمت بها...
The pickup and the drop location.	موقع الذي نقلت منه، والموقع الذي أوصلت إليه.
Oh, my God. What?	يا إلهي، ماذا؟
Pagosa Springs public library?	مكتبة "باغوسا سبرينغ" العامة؟
I had a water pump go out in Pagosa Springs.	كانت لدي مضخة مياه هناك
Bitch of a mountain... Wolf Creek Pass.	كلب جبال... "وولف كريك باس"
Thought I was gonna end up living out there with the hill people until this Teddy bear of a man fixed me up at the local garage.	اعتقدت انه سينتهي بي المطاف أعيش هناك رفقة قوم التل إلى أن قام هذا الرجل الذي يشبه الدبدوب بإدخالي إلى المرآب المحلي.
I'll never forget him. Tracy Woods.	لن أنساه أبدا، (تريسي وودز).
You don't know Tracy, do you?	أنت تعرف (تريسي)، أليس كذلك؟
Leather vest, mustache...	سترة جلدية، شارب...
Tracy Woods?	(تريسي وودز)؟
No.	لا.
I wonder if he's still fixing water pumps.	أتساءل هل ما زال يصلح مضخات المياه.
Anyway, it'll always be a fond memory.	على أي حال، ستكون دائما دكرى عزيزة.
The list.	القائمة.
S-so, that's it? We're...	إذن، هذا كل شيء، نحن...
What about the package?	ماذا بشأن الطرد؟
You're gonna deliver it or return it or whatever the people you work for want you to do with it.	ستقوم بتسليمه أو إرجاعه أو مهما من تعمل معهم يريدونك أن تفعل به.
And as far as you're concerned, we never had this conversation.	وعلى حد عملي، لم نحظى بهذه المحادثة.
Dembe?	(ديمبي)؟
A copy, please.	نسخة لو سمحت.
I hope you have nothing pressing.	آمل أنه ليس لديك شيء لطباعته
This may take a minute or three.	سيأخد هذا دقيقة أو ثلاتة
You sure you don't know him?	هل أنت متأكد أنك لا تعرفه؟
Leather vest, mustache...	سترة جلدية، شارب..
Tracy Woods?	(تريسي وودز)؟
Shame.	مؤسف
Hey.	مرحبا.
I got something.	لدي شيء ما.
Hey.	حسنا، لم أرغب في معرفة هذا القدر
Okay, I never wanted to know this much about gas chromatography or gear lubricants, but I think Mr. Reddington is onto something.	حول التفريق اللوني للغاز، أو معدات التشحيم، لكنني أعتقد أن السيد (ريدينغتون) يخطط لشيء ما.
Look at this.	القوا نظرة على هدا.
We pulled the lab reports from the NTSB, and the chopper's engine tested positive for two distinct compounds.	لقد قمنا بسحب تقرير مختبر هيئة سلامة النقل ومحرك المروحية أظهر نتائج إيجابية لفحص مركبين متميزين.
The first is ethephon, which is a ripening agent for tobacco.	الأول هو "إيثفون" وهو عامل نضوج التبغ
- And how does that help us?	-وكيف من شأن هذا أن يساعدنا؟
- Take a look.	-انظروا .
Tobacco production's way down in this area.	لقد انخفض إنتاج التبع في هذه المنظقة.
In fact, since 1998, the federal government is actually paying farmers not to grow it.	في الحقيقة، ومنذ سنة 1998، الحكومة الفدرالية تقوم بالدفع للمزارعين لعدم زراعتها.
Okay, but there's still plenty of tobacco farms.	حسنا، لكن ما يزال هناك العديد من مزارع التبغ.
I agree, which brings us to chemical compound number two.	أوافقك، ما يقودنا إلى المركب رقم اثنان.
This one is used to grow sweet corn.	هذا يستعمل لنمو الذُّرة الصفراء.
So we cross-reference the two?	إذن سنعتمد على كليهما؟
Exactly.	تماما، نحن نبحث عن صانع مبيد حشرات
We are looking for a pesticide manufacturer who used to supply tobacco growers but made the transition to corn.	الذي اعتاد تزويد مزارعي التبغ لكن انتقل إلى الذرة.
And how many of those are there?	وكم عددهم؟
17.	17.
Wait.	مهلا.
Of those, 11 are outside of the fuel range of this chopper.	هناك 11 منهم خارج مدى وقود هذه المروحية.
Uh, of the other six, uh, only one has a structure large enough to get that stolen helicopter out of view and under construction.	الستة الآخرون، واحدة فقط لديه بنية كبيرة بما يكفي لجعل تلك المروجية
Halifax Agro-Chem.	"مختبر هالفيكس للزراعة الكيميائية"
If I had to bet, I'd say that's their staging site.	لو كنت سأراهن، سأقول أن ذلك هو موقعهم.
It's around the corner, half a block up.	إنه قريب، على بعد نصف بناية
I make seven exterior cameras, and those are the ones they want us to see.	وضعت 7 كاميرات مراقبة خارحية، وتلك هي التي يرغبون أن نراها.
And it's on the list of drop sites I gave you?	وهي على المواقع التي أعطيتك إياها؟
Yes.	نعم
How long has Mr. Keen been inside?	كم مضى على وجود السيد (كين) في الداخل؟
I tailed him here four hours ago.	تعقبته إلى هنا قبل أربع ساعات.
Lovely. Thank you, Preston.	جيد، شكرا لك (بريستون).
- You want me to call Sabusawa?	-تريدني أن أتصل بـ"سابوساوا"؟
- That would be ideal, but he's working an extraction in Ecuador.	-سيكون ذلك مثاليا . لكنه يعمل حاليا في "الإكوادور"
Then how do you plan on getting keen out of that concrete box?	كيف تخطط إذن لإبعاد (كين) عن ذلك الصندوق الخرساني؟
- We have a lead on Xiaoping Li.	-لدينا دليل على (شاوبينغ لي ).
- Excellent.	-ممتاز .
- Tell me.	-أخبريني .
- We think she's being held at Halifax Agro-Chem in Falls Church.	-نعتقد أنها محتجزة "داخل "مختبر هالفيكس للزراعة الكيميائية" في "فولز تشورش"
We're assembling a team.	نحن نقوم بجمع فريق.
Lizzy, about Tom...	(ليزي)، بخصوص (توم)...
I don't want to talk about Tom with you.	لا أريد أن أتحدث بشأن (توم) معك.
You have your opinion on how to proceed, and I have mine.	لديك طريقة لكيفية المتابعة، وأنا لدي طريقتي.
Just don't bother yourself. I'll deal with Tom.	لا تتعب نفسك فحسب سأتعامل مع (توم).
Lizzy, I assure you that will yield no answers and little satisfaction.	(ليزي)، أؤكد لك أن ذلك لن يعطيك إجابات أو أي إرضاء صغير.
Well, I'll find out, won't I?	حسنا، سأكتشف ذلك. أليس مذلك؟
I wish I could talk you out of this.	أتمنى لو يمكنني إقناعك بالعدول عن هذا.
You can't.	لا يمكنك ذلك.
Well, good luck with Xiaoping...	حسنا، حظا طيبا مع (شاوبينغ)..
Good afternoon, gentlemen.	مساء الخير أيها السادة.
I'm Raymond Reddington.	اسمي (رايموند ريدينغتون).
Hey. Look at this.	انظري إلى هذا
What are we looking at?	إلى ماذا ننظر؟
I have no idea.	ليست لدي فكرة.
Hey!	أنت!
Get out of here!	اخرح من هنا
Go!	اذهب!
	تم وضع الطرد، إلى مواقعكم العد إلى ثلاتة.
What the hell was that?	ماذا كان ذلك؟
Out! Out!	اخرحوا!
Move!	..
Move! Move!	هيا هيا!
Fall back. Asset en route. We're moving to the cars.	تراجع، نحن على الطريق، إننا ننتقل إلى السيارة.
-	سيارتان، (كين) في المقدمة
-	(كين) مازال طليقا
-	اصدمه إلى خارج الطريق
-	مرة أخرى
I mean, it looks like some sort of serial number.	أعني، إنه يبدو مثل رقم تسلسلي.
Or an atomic number...	أو رقم ذري...
Something from a periodic table.	شيء من جدول دوري.
Why do you think that?	لما تعتقدين ذلك؟
Because the only word I know that contains the letters "v-g" together is avgolemono.	لأن الكلمة الوحيدة التي أعرفها والتي تحتوي على حرفي "ف-غ" معا هي "آفغوليمونو".
I don't know what that is.	لا أعرف ماذا يكون
It's a soup.	إنه عبارة عن حساء
Chicken stock, egg yolks, and lemon juice.	مرق الدجاج، مح البيض وعصير البرتقال.
What?	ماذا؟
I cook.	أنا أطبخ.
The point is, maybe Xiaoping Li left us a message.	المغزى هو، ربما (شاوبينغ لي) تركت لنا رسالة.
I'll run the letter combination against the DMV registry	سأشغل مزيج الحروف في مكتب التسجيل
- and see if we can get a hit.	-ونرى ما يمكننا الحصول عليه .
