אני אגיד לך...	I will tell you...
"רגלי-עץ קטנות, ויותר מכול,	Little wooden feet and best of all
"ישבן-עץ קטן, למקרה שתיפול...	Little wooden seat in case you fall
"איזה חן!	How graceful!
קליאו, תכירי את פינוקיו.	Cleo, meet Pinocchio.
תגידי "מה שלומך"?	Say, "How do you do?"
תגיד שלום לפיגרו.	Say hello to Figaro.
אתה רואה מה קורה?	You see what happens?
אני עדיין... מעניין מה השעה. בוא למעלה...	Up we go!
פינוקיו, אני חושב שפיגרו מקנא בך.	You know, Pinocchio, I think Figaro is jealous of you.
מעניין מה השעה.	I wonder what time it is.
נעשה מאוחר.	It's getting late.
לילה טוב, פינוקיו.	Good night, Pinocchio.
פיגארו.	Figaro.
-קדימה, צא!	Go on.
זה נקרא לישון בנוח!	This is my idea of comfort.
נוחות אמיתית.	Solid comfort.
לא היה נחמד, אם הוא היה ילד אמיתי?	Wouldn't it be nice if he was a real boy?
ילד אמיתי!	A real boy!
שקט!	Quiet!
אחרי הכול, יש גבול לכל דבר.	After all, enough's enough.
ומה עכשיו?	Now what's up?
הי, מה קורה פה?	Hey, what's going on here?
שכה אחיה, פיה!	As I live and breathe, a fairy!
בובה קטנה העשויה עץ-אורן, עורי!	Little puppet made of pine, wake.
לך הוענקה מתנת החיים.	The gift of life is thine.
אני יכול לזוז!	I can move!
אני יכול לדבר!	I can talk!
אני יכול ללכת!	I can walk!
- למה?	- Why?
ואני ילד אמיתי?	- Am I a real boy?
זה לא יהיה קל.	That won't be easy.
מותר ואסור?	Right and wrong?
אבל כיצד אדע?	But how will I know?
-מצפונך יגיד לך.	- Your conscience will tell you.
מהו מצפון?	- What are conscience?
-מהו מצפון?	- What are conscience!
אגיד לך!	I'll tell ya!
האם אתה המצפון שלי?	- Are you my conscience?
באוויר?	Who, me?
בלי מעשי קונדס, בבקשה.	No tricks now.
הזדקף, מר ג'ימיני הצרצר.	Arise, Sir Jiminy Cricket.
זה ממש נהדר!	Say, that's pretty swell.
יה... תודה.	Gee... thanks.
-עוד נראה.	- Well, we'll see.
-לא הייתי מתפלאת.	- I shouldn't wonder.
אולי מזהב?	- Make it a gold one?
אולי.	Maybe.
בסדר.	All right.
שב, בן.	Sit down, son.
-מבינים ?	- Understand?
ככה?	Like this?
ככה?	Like this?
!	No, son.
תקשיב.	Now, listen.
"אם תמצא את עצמך בצרה, ולא תדע להבדיל בין טוב לרע,	When you get in trouble and you don't know right from wrong
"תן שריקה קטנה...	Give a little whistle
"תן שריקה קטנה...	Give a little whistle
"ואם תיתקל בפיתוי, והדחף יהיה חזק מאוד,	When you meet temptation and the urge is very strong
"תן שריקה קטנה...	Give a little whistle
"תן שריקה קטנה...	Give a little whistle
"לא רק ציוץ קטן, שרבב שפתיים ונשוף!	Not just a little squeak Pucker up and blow
"תן שריקה קטנה...	Give a little whistle
"תן שריקה קטנה...	Give a little whistle
"ותמיד הנח למצפונך להדריך אותך.	And always let your conscience be your guide
"ותמיד הנח למצפונך להדריך אותך.	And always let your conscience be your guide
מי שם?	- Who is there?
אה... זה אני.	Oh, it's me.
יש כאן מישהו.	There's somebody in here.
הוא כאן באיזה מקום.	He's in here somewhere.
-אני כאן!	Here I am!
פינוקיו!	Pinocchio.
איך ירדת לכאן?	How did you get down here?
נפלתי.	- I fell down.
הו, ציפית לי. .	- Oh, you did.
את מדברת!	You're talking!
בחיי, אתה מצחיק.	Gee, you're funny.
תמלא עוד.	Do it again!
מצפון?	- A conscience!
האין זה חמוד? כן, חמוד.	Yeah, cute.
זה ראוי לחגיגה.	This calls for a celebration.
מוזיקה!	Music!
תפעיל אחת מהן, פינוקיו.	You start one, Pinocchio.
אלי.	Oh, boy.
אפשר להתחלף?	Mind if I cut in?
הוו, נחמד.	Ooh, nice.
- או, תראו.	- Look!
עזרה!	Help!
איש קטן, זה היה לילה ארוך.	Little man, you've had a busy night.
כעת, עצום את עיניך, ולך לישון.	Now, close your eyes and go to sleep.
למה?	Why?
למה?	Why?
למה?	Why?
-ככה .	- Because.
עמוד קצת בשקט.	Stand still now.
-מה אלה?	- What are those?
-כן.	- Yes.
אבל תזדרז כעת.	But hurry now.
תמשיכי לרוץ.	Run along now.
בית הספר אינו בשבילך.	School is not for you.
מוחות צעירים וצמאים הנחפזים אל מעיין הידע.	Thirsty little minds rushing to the fountain of knowledge.
בית הספר, מוסד אצילי.	School, a noble institution.
דבר כזה בוודאי שווה הון בעיני מישהו!	A thing like that ought to be worth a fortune to someone.
בוא נראה...	Now let me see.
זהו זה.	That's it!
- תקשיבי.	- Listen.
-לא, לא, טיפש.	No, no, stupid.
אל תנהג בגסות.	Don't be crude.
תן לי לטפל בזה.	Let me handle this.
הנה הוא בא.	Here he comes.
או, אני מאד מצטערת.	Oh, I'm terribly sorry.
תן לי לנוח פה.	- I'm all right.
-הו, מעולה. אה!	- Oh, splendid.
תראה, גידי, איש של אותיות.	Look, Giddy, a man of letters.
הנה ספרך.	- Here's your book.
-אני הולך לבית הספר!	- I'm going to school.
בבית הספר.	School.
כן.	Ah, yes.
לא?	- No?
-התהילה?	- Fame?
מה שמך?	- What is your name?
"היי, דידל-די-דם, שמחים הם חיי השחקן.	Hi diddle dee dee An actor's life for me
"היי, דידל-די-דם, שמחים הם חיי השחקן.	Hi diddle dee day An actor's life is gay
-ייתכן שאלה השוטרים.	- What was that?
למעלה?	Up where?
אין כאן שום דבר שצריך לפחד ממנו.	Why, there's nothing up there to be afraid of.
מכאן.	Over here.
ובכן, הוא נמצא לפניך.	- Well, that's him.
ג'ון הישר?	Honest John?
הנה אתם!	Ah, there you are!
היכן היינו?	Now, where were we?
גבירותיי ורבותיי, בסיום המופע הנהדר הזה,	Ladies and gentlemen, to conclude the performance of this great show,
אני מקווה.	I hope so.
האחד והיחיד, פינוקיו!	The one and only Pinocchio!
ילד חמוד...	Cute kid.
"אני רוצה שהעולם יידע שאין מקום לדאגה	I want the world to know Nothing ever worries me
"כעת אין לי חוטים כלל!	There are no strings on me
בשביל מה צריך השחקן מצפון בכלל?	What does an actor want with a conscience anyway?
מה יכול היה לקרות לו?	What could have happened to him?
איפה הוא יכול להיות בשעה כזאת?	Where could he be at this hour?
כדאי שאצא שוב לחפש אחריו.	I'd better go out again and look for him.
כל הכבוד, פינוקיו!	- Bravo, Pinocchio!
-הם מחבבים אותי.	- They like me.
אתה כביר!	You are colossal!
שמך יתגלגל על כל לשון!	Your face, she will be on everybody's tongue.
באמת?	- Will she?
מה זה?	What's this?
בשבילך, פינוקיו קטן שלי.	For you, my little Pinocchio.
עבורי?	For me?
בחיי, תודה!	Gee, thanks!
ארוץ הביתה, ואספר לאבי.	I'll run right home and tell my father.
הביתה? !	Home?
אשוב בבוקר.	- I'll be back in the morning.
בדרככם הביתה.	Going home.
מונטה קרלו.	Monte Carlo.
לא, לא!	- No, no!
כן.	- Yes!
אתה תרוויח המון כסף... בשבילי!	You will make lots of money... for me!
שקט!	Quiet!
חכו!	No! No, wait!
קדימה!	Get along there.
פשוט, אצא מחייו בשקט.	I'll just go out of his life quietly.
בטח!	Sure! Why not?
מה קרה?	What's happened?
אז זה ככה?	Oh, is that so?
זה מה שאמרתי!	That's what I said.
כנראה, זה דגם ישן.	Must be one of the old models.
כלומר, אינך יכול לפתוח אותו?	You mean, you can't open it?
כן.	Yeah.
לעולם לא אראה שוב את אבי.	Guess I'll never see my father again.
קדימה, תוציאי.	Come on, blow.
כל הכבוד.	Thatta boy.
היי, שוב אותו כוכב!	Hey, that star again!
מה אגיד לה?	- What'll I tell her?
-כדאי שתגיד לה את האמת.	- You might tell her the truth.
פינוקיו, מדוע לא הלכת לבית הספר?	Pinocchio, why didn't you go to school?
לבית ספר?	- School?
קדימה, ספרו לה.	- Go ahead, tell her.
התכוונתי ללכת לבית הספר, ופגשתי מישהו.	I was going to school 'til I met somebody.
פגשת מישהו?	- Met somebody?
-לא פחדת ?	- Weren't you afraid?
-לא!	- No!
כן!	- Yeah!
ואז נמלטת?	- How did you escape?
‫	- I didn't.
מה קרה?	What's happened?
"היי, דידל-די-דם, שמחים הם חיי השחקן.	Hi diddle dee dee An actor's life for me
"היי, דידל-די-דם, שמחים הם חיי השחקן.	Hi diddle dee day An actor's life is gay
אתה מבין. .	You see--
ילדים טיפשים?	- Stupid little boys?
- לא, אדוני.	- No, sir.
-כדאי שתיתני לי.	- You'd better.
אלו מילים!	Now you're talkin'!
או, שלום.	Oh, hello.
באמת?	- He did?
ברך את נשמתי.	Bless my soul.
-ידעתי!	- I knew it!
-כלום.	- Nothing.
אלרגי?	- Allergic?
-אי התענוגות?	- Pleasure Island?
אתן לך את הכרטיס שלי.	I'm giving you my ticket.
כאן.	- Here.
"היי, דידל-די-די, נוסעים לאי התענוגות.	Hi diddle dee dee It's Pleasure Isle for me
טוב, מתחילים הכל מחדש.	Well, here we go again.
מה שמך?	What's yours?
פינוקיו!	Pinocchio.
קבלו עוגה, ממתקים וגלידה.	Get your cake, pie, dill pickles and ice cream.
- למה?	- Why?
כעת רדו למטה, והכינו את הארגזים.	Now get below and get them crates ready.
תנו לילד רע הזדמנות מתאימה, ובמהרה הוא יעשה מעצמו חמור.	Give a bad boy enough rope and he'll soon make a jackass of himself.
איפה כולם?	Where is everybody?
"פינוקיו"!	Pinocchio!
היי, איפה אתה?	Hey, where are you?
כן.	Yeah!
בטח שכן!	It sure is!
כיף, נכון?	Some fun, huh, kid?
"פינוקיו"!	Pinocchio!
כך תהפוך לילד אמיתי, לדעתך?	How do you ever expect to be a real boy?
תסתכלי על עצמך.	Look at yourself.
אוו!	Ow!
תוריד אותי!	Put me down!
מה?	What?
חרגול? !	Grasshopper?
החבר הכי טוב שלך?	- Your best friend?
אוקיי, החלטנו.	Okay, that settles it.
מאין באו כל החמורים האלה?	Where'd all the donkeys come from?
ומה שמך?	And what's your name?
קדימה!	In you go!
אתם תכניסו לי סכום הגון. "נמכר לקרקס, נמכר למכרות המלח"	You boys'll bring a nice price.
בסדר. הבא!	All right, next!
אלכסנדר.	- Alexander.
שקט!	- Quiet!
"הילדים"?	"Boys"?
הה!	Ha!
מצפון.	Conscience.
את בהחלט!	You sure do!
היי, אתה צוחק כמו חמור!	Hey, you laugh like a donkey.
האם זה יצא ממני?	Did that come out of me?
אימא!	Mama!
-אני מקווה שלא מאוחר מדי!	- I hope I'm not too late.
מה אעשה?	What'll I do?
הו, גם אותך.	Oh, you too!
אתה חייב לקפוץ!	You gotta jump!
כמובן.	Sure.
חשבתי שלעולם לא נגיע.	I thought we'd never make it.
בוא. נלך הביתה.	Come on, let's get home.
היי, אולי הוא ישן?	Hey, maybe he's asleep.
פינוקי, בוא הנה.	Pinoke, come here.
תראו.	Look.
הוא לא כאן.	He ain't here.
אל דאגה, נערי, הוא בוודאי לא רחוק מכאן.	Don't worry, son, he probably hasn't gone far.
-זהו מסר .	- It's a message.
מה כתוב פה?	- What's it say?
-זה בקשר לאביך.	- It's about your father.
איפה הוא?	- Where is he?
לאן אתה הולך?	Where you going?
אני הולך למצוא אותו.	I'm going to find him.
אולי אני נחשב שם לפיתיון חי, אבל אני אתך.	I may be live bait down there, but I'm with ya.
בואי, נלך.	Come on, let's go.
זהירות שם למטה!	Look out below!
פנו דרך שם!	Gangway, down there.
להתראות.	Well, so long.
אבא!	Father!
היי, פינוקי, חכה לי!	Hey, Pinoke, wait for me!
אבא!	Father!
אבא!	Father!
היי ,מה... חכה, בבקשה, לא התכוונתי לפגוע בך. זה היה פשוט מזל.	Hey, what the--
זה סילק אותם.	That got 'em.
אבא!	Father!
או, שלום.	Oh, hello.
התפזרו עכשיו.	Break it up now.
היי ,מה... חכה, בבקשה, לא התכוונתי לפגוע בך. זה היה פשוט מזל.	Hey, what the--
האם מישהו מכם יוכל לומר לי היכן אוכל למצוא את מונסטרו?	Could any of you tell me where to find Monstro?
כבר ימים שלא דגנו כלום.	Not a bite for days.
לא נוכל להחזיק מעמד עוד זמן רב.	We can't hold out much longer.
הוא היה ילד כל כך טוב.	He was such a good boy.
זה חסר תקווה, פיגרו.	It's hopeless, Figaro.
לא נשארו עוד דגים.	There isn't a fish left.
הנה הם!	Here they come!
שמור עליהם שם, פיגרו!	Keep them in there, Figaro!
היי!	Hey!
אנחנו חייבים לצאת מכאן!	We got to get out of here!
מעולם לא ראיתי כל-כך הרבה דגים!	Never saw so many!
הנה עוד אחד!	Here's another one!
זה יספיק לשבועות!	Enough for weeks!
הנה אחד גדול!	Here's a big one.
שמור עליהם שם, פיגרו!	Keep them in there, Figaro!
-הנה עוד אחד!	- Here's another one.
היי, אבא!	Hey, Father!
אבא!	- Father!
אבא!	- Father!
תן לי את הכובע.	Let me take your hat.
"פינוקיו"!	Pinocchio!
-האוזניים האלה!	- Those ears!
-הא ?	- Huh?
מהקרהלך ?	What's happened to you?
היי, תפסיקו!	Hey! Cut it out!
רפסודה!	- A raft?
לא, לא, לא, לא.	No, no, no, no.
לא נצטרך לשבת.	We won't need it.
הגיע הזמן!	Well, it's about time!
זה לא יצליח לך!	- It won't work!
תחזיקו מעמד!	Hang on!
לבריאות!	Gesundheit.
אנחנו שבים לאחור!	- We're going back!
עשינו זאת!	We made it!
אמרתי לך שהוא ירתח!	I told you he'd be furious!
-הוא נעלם !	- He's gone!
‫לאן הלך?	- Where did he go?
תזהרו!	Look out!
תחזיקו מעמד!	Hang on!
הוא חוזר!	He's coming back.
נשוב לאחור!	Let's go back!
תזהרו!	Look out!
תקפצי!	Jump!
אבא!	Father! Father!
בני.	My boy.
תוכיח שאתה אמיץ, ישר ולא אנוכי, ויום אחד תהיה ילד אמיתי.	Prove yourself brave, truthful and unselfish, and someday you will be a real boy.
אבא!	Father!
לא, אני לא.	No, I'm not.
כן, כן, זה מה שאתה.	Yes, yes, you are.
עכשיו, לשכב.	Now, lie down.
אני אמיתי.	- I'm real.
אני ילד אמיתי!	I'm a real boy!
אתה חי!	You're alive!
כעת עלינו לחגוג.	This calls for a celebration!
פרופסור, מוזיקה!	Professor, lots of music!
תודה, גברתי.	Thank you, milady.
מגיע לו להיות ילד אמיתי.	He deserved to be a real boy.
שכה אחיה!	- Well, I'll be!
בחיי!	My, my!
התעורר.	Wake up.
-מה לעשות ?	- What now?
מה קורה פה?	What's going on around here?
-התעורר !	- Wake up.
-זה כבר קרה .	- It's happened.
קדימה	- Come on.
-בוא, כדי שנמהר .	You better hurry up.
הסתכלו.	Well, look.
-תראו אותו ,	- Well.
-הוא לא חמוד?	- Isn't he cute?
שיהיה במזל טוב!	You're to be congratulated.
-כן, מזל טוב !	- Yes, congratulations.
-ברכותי .	- Congratulations.
תודה רבה לך.	Thank you very much.
תראו.	Look.
הוא מנסה לקום.	He's trying to get up.
טמפר!	Thumper.
אבל... הוא באמת מתנדנד.	Well, he is.
מה, פיט?	Aren't you?
קדימה.	Come on.
טמפר!	Thumper.
- בוקר טוב.	- Good morning.
שלום.	Goodbye.
בוקר טוב, בוקר טוב.	Good morning.
-מה קרה?	- What's the matter?
-מה קרה ?	- What happened?
-הוא נפגע ?	- Is he hurt?
טמפר!	Thumper.
קדימה קום, קום במבי!	Come on, get up. Get up.
-קום ,	- Get up.
- נסה שוב.	- Try again.
טמפר!	Thumper!
קדימה.	Come on.
אתה יכול לעשות את זה.	You can do it.
ככה.	Like this.
ציפור.	Bird.
ציפור.	Bird.
ציפור.	Bird.
הוא דיבר!	He talked.
ציפור.	Bird.
פרפר?	Butterfly?
חמאה...	Butter...
באטרפליי.	Butterfly.
-זה יפה.	- It's pretty.
יפה	Pretty.
פרח.	Flower.
אני?	Me?
- הוא קטן ...	- He's a little...
-זה בסדר.	- That's all right.
-לא נורא כלל.	I don't mind.
יפה	Pretty.
בחיי.	Gosh.
מדו?	Meadow?
-ממי שמעת זאת ?	- Where did you hear that?
ובכן, הוא צודק.	Well, he's right.
אולי.	Perhaps.
ששש! שקט עכשיו.	Hush now.
כמעט הגענו.	We're almost there.
- חכה.	- Wait.
‫חכה כאן.	Wait here.
זה בסדר.	It's all right.
קדימה.	Come on.
שלום.	Hello.
טעים... מעורר תאבון!	It's delicious.
זה החלק הכי טעים.	That's the good stuff.
טמפר!	Thumper.
כן, אימא?	- Yes, Mama?
-מה אביך אמר לך ?	- What did your father tell you?
באיזה עיניין?	About what?
או, את זה.	Oh, that one.
שלום, במבי.	Hello, Bambi.
אמרתי "שלום".	I said hello.
אתהלאמפחד,נכון?	You're not afraid, are you?
קדימה, תגיד שלום.	Go on, say hello.
שלום.	Hello.
עלייך.	You.
כן, אני יודע.	Yes, I know.
במבי!	Bambi.
אמא.	Mother.
במבי!	Bambi.
אמא.	Mother.
קדימה.	Come on.
עכשיו הכל בסדר.	It's safe now.
אמא, תראי!	Mother, look.
-שלג ?	- Snow?
-כן.	- Yes.
קדימה.	Come on.
זה בסדר.	It's all right.
תראו.	Look.
קדימה, קום.	Come on, get up.
ככה.	Like this.
התעורר.	Wake up.
לשם מה אתה עושה זאת?	What do you want to do that for?
ובכן, לילה טוב.	Well, good night.
אבל זה לא יימשך לעד.	But it won't last forever.
כן, אני יודע.	Yes, I know.
תראו.	Look.
במבי!	Bambi.
במהירות.	Quick.
יותר מהר.	Faster.
במבי, יותר מהר!	Faster, Bambi.
אל תביט לאחור!	Don't look back.
המשך לרוץ!	Keep running.
המשך לרוץ!	Keep running.
הגענו בזמן.	We made it.
אנחנו...	We...
אמא.	Mother.
אמא, היכן את?	Mother, where are you?
אמא שלך לא תחזור.	Your mother can't be with you anymore.
אנחנו חייבים להיכנס פנימה אבל חכה! תבוא.	Come.
בני.	My son.
חכה.	Wait.
מהעכשיו?	What now?
היי.	Hey.
הסתלקו!	Scat.
הנה.	There.
מה הטעם?	Oh, what's the use?
הצידה, הצידה.	Stop it.
עכשיו תצאו מפה כולכם.	Get out of here.
כולכם.	All of you.
וגם אתה!	And you, too.
במבי!	Bambi!
שלום, במבי.	Hello, Bambi.
זוכרת אותי?	Remember me?
טמפר!	Thumper.
1730. -נכון .	Right.
שלום חברים.	Hi, fellas.
פרח.	Flower.
כן.	Yeah.
ואתם יודעים מה קורה אז?	And then you know what?
- נורא.	- Terrible.
זה עלול לקרות לכל אחד מכם.	It can happen to anybody.
גם לי לא.	- Me neither.
גם לי לא.	- Me neither.
קדחת האביב.	Twitterpated.
שלום, במבי.	Hello, Bambi.
אתה לא זוכר אותי?	Don't you remember me?
במבי!	Bambi.
♪ ועליך ♪♪	And you
מהר.	Hurry.
בוא אחרי.	Follow me.
תשמעו.	Listen.
-הוא מגיע.	- He's coming.
שקט !	- Hush.
תהיה בשקט.	Be quiet.
-תירגע.	- Be calm.
אל תתרגש.	Don't get excited.
-לא!	- No.
הוא מגיע! הוא כבר ממש קרוב!	He's almost here.
אני לא יכולה יותר!	I can't stand it any longer.
במבי!	Bambi.
קום.	Get up.
אתה מוכרח לקום!	You must get up.
קום.	Get up.
קום.	Get up.
עכשיו, בוא איתי.	Now, come with me.
במבי!	Bambi.
התעורר.	Wake up.
מהעכשיו?	What now?
-זה כבר קרה .	- It's happened.
-קרה ?	- Happened?
אה.	Oh. Well.
תראו.	Look.
הם שניים.	Two of them.
-לא. זה מחבר ותיק שלי.	An old friend of mine.
לא ידעתי.	- Oh, I didn't know.
תודה	- Thank you.
-כן.	- Yes?
אתל.	Ethel.
זה עושה אותי עצבנית.	Makes me nervous.
הנה!	Here!
לא יודע.	I don't know.
ואז מה קרה?	Then what happened?
מה קורה פה?	What's going on here?
זה על התקליט.	It's on the record.
- אני, אדוני.	- I did, sir.
- למה?	- Why?
אני...	I ...
אמרתי לך שלא היינו צריכים לבוא לכאן!	I told you we shouldn't have come here!
-תשתוק!	- Shut up!
איזה מין אדם הוא?	What kind of a man is he?
מי מכיר אותו?	Who knows him?
- אמרתי לך!	- I told you!
כן, אדוני.	Yes, sir.
מאד מוזר.	Very peculiar.
- אני נשכרתי.	- I was hired.
- על ידי מי?	- By whom?
-באמת?	- You saw him?
-לא!	- No.
Unknown. (בלתי ידוע).	Unknown
זה שקר.	That's a lie!
עכשיו, אני ניזכר.	Now I remember.
-מה קרה ?	- What happened?
אני מסכים בהחלט, אדוני.	I quite agree, sir.
- לא, אדוני.	- No, sir.
זה נפלא!	It's wonderful!
באמת?	Really!
-הא ?	- Huh?
מה אמרת?	What did you say?
- הוא לא זז.	- He's not moving.
- מה אמר הרופא?	- What did the doctor say?
-מת .	- Dead.
מה?	What?
אל תיגע!	Don't touch!
תריח את זה.	Smell it.
- התאבדות?	- Suicide?
רופא!	Doctor!
בוקר טוב, גנרל.	Good morning, General.
בוקר טוב, בוקר טוב.	Good morning.
מה?	- What?
- אני לא ‫להבין את זה.	- I don't understand it.
- שמונה.	- Eight.
מה עם ארוחת בוקר?	What about breakfast?
מה?	- What?
מה?	- What?
- אישתו.	- His wife.
- אה?	- Eh?
- אישה?	- Wife?
זה לא ייתכן!	I don't believe it!
אל תמהר!	Take your time!
- יש לי מה?	- Got what?
גם אותי.	- Me too.
מיד.	Immediately.
את שומעת?	Do you hear that?
גם אנחנו.	So are we.
סיר ג'ון!	Sir John!
- אף אחד.	- Nobody!
אני לא מבינה את זה.	I don't understand it.
זה נכון.	That's right.
- אני יודע איפה הוא.	- I know where he is.
מה אתה רוצה?	What is it, man?
- ציפיתי לזה.	- I was expecting that.
לגמרי.	Perfectly clear.
אתה חייב לעשות זאת?	Do you have to do that?
- מי?	- Who?
איזו מהן?	Which one?
- אנחנו לא.	- We don't.
זה מה שחשבתי.	- That's what I was thinking.
- מה אנחנו יודעים אודותיו?	- What do we know about him?
זו עובדה.	That's a fact.
אני לא מבינה למה.	I don't see why.
תודה לך.	Thank you.
במי אתה חושד?	Whom do you suspect?
אתה לא יכול לעשות את זה!	You can't do that!
טוב... הזמן יגיד.	Time will tell.
מה אתם אומרים?	What about it?
לא, תודה.	No, thank you.
כל המרבה הרי זה משובח.	The more the merrier.
כן, אדוני?	- Yes, sir?
תודה לך.	Thank you.
- סיפרתם לו?	- Have you told him?
-כן, אדוני.	- Yes, sir.
חכה!	No wait!
תפתחו!	Open up!
פתח את הדלת!	Open the door!
-בשביל מה?	- What for?
מהר!	Hurry up!
יורד גשם!	It's raining!
אל תדאג לי, אדוני.	Don't worry about me, sir.
לא משנה.	Never mind.
לילה טוב. -לילה טוב.	- Good night.
לילה טוב. -לילה טוב.	- Good night.
לילה טוב. -לילה טוב.	- Good night.
- לילה טוב, אדוני.	- Good night, sir.
היא לא פה.	She's not here!
מה רע בזה?	What's wrong with that?
תראו.	Look.
- מה זה?	- What's that?
איפה הוא?	- Where is he?
רוג'רס!	Rogers!
רוג'רס!	Rogers!
- הוא לא שם.	- He's not there.
הוא השתכר.	He got drunk.
הוא מת.	He's dead.
-לא!	- No.
מה?	- What?
ראשון, שני, שלישי.	- One. Two. Three.
אני קולט את זה!	I get it!
לא, אני לא.	No I don't.
לא, למה?	No, why?
מה קרה לנער?	What happened to the boy?
יש לי!	I got it!
- מי?	- Who?
- רוג'רס.	- Rogers.
עובדה!	Fact.
זה דורש אימון.	It takes practice.
כמובן.	Of course.
לומבארד!	Lombard!
- מה אתה עושה כאן?	- What you doing here?
-למה זה?	- Why is that?
מה לגבי אישה?	How about a woman?
זה היא!	It's her!
איך אנחנו יודעים?	How do we know?
אף אחד לא שאל אותי.	Nobody asked me.
תפסתי אותו!	I've got him!
אני יודע היכן היא.	I know where it is.
-זה לא כאן !	- It's not here!
-אל.	- Don't.
הוא לא כאן.	It's not here.
מה עשית איתו?	- What did you do with it?
מה עשית איתו?	- What did you do with it?
מה איתך?	What about yourself?
למה לא?	Why not?
אני אלך.	I shall.
לא יודע.	I don't know.
- ורה?	- Vera?
- אל תתקרב יותר!	- Don't come any closer!
- איפה הוא?	- Where is she?
לא אומר מילה.	I won't say a word.
אל תתקרב!	Don't come any closer!
- אל תדאג לי.	- Don't worry about me.
-קדימה!	- Come on!
אל תפריע לי.	Don't bother me.
אני קולט את זה!	I get it!
- תישארו היכן שאתם!	- Stay where you are!
למה לא?	- Why not?
- מי?	- Who?
אני מבין!	I see!
- עכשיו?	- Now?
זה הכל.	That's all.
תודה	- Thank you.
‫ורה!‬	-Vera!
-מי הנוסע?	-Who is it?
איפה היית?	- Where have you been?
החדר שלך?	Your room?
מה קרה לך?	- What happened to you?
- שמעת משהו? - כן.	- Did you hear anything?
ורה!	Vera!
ורה!	Vera!
מה קרה?	What happened?
- מי?	- Who?
מי זה היה?	- Who was it?
בקרוב נגלה .	We'll soon find out.
היי!	Hey!
אורות!	Lights!
אורות!	Lights!
אצות ים.	Seaweed.
- איפה השופט?	- Where's the judge?
-גם אני.	- So did I.
-יריה?	- Shot?
מה אמרתי לך?	What did I tell you?
מה?	- What?
-כן.	- Yes.
זה שלי.	It's my own.
- על ידי מי?	- By whom?
אינך זוכר?	Don't you remember?
אמת?	True?
כן.	Yes.
מסכימה.	Agreed.
חכי רגע.	Now wait a minute.
אני מעדיפה לא לדבר על זה.	I'd rather not talk about it.
-אני לא מבינה למה.	- I don't see why.
-עוד תרגיש, עוד תרגיש.	- You will. You will.
1730. -נכון .	Right.
1730. -נכון .	Right.
1730. -נכון .	Right.
אני קולט את זה!	I get it!
חכה רגע.	- Oh, wait a minute.
-לא!	- Oh, no!
לילה טוב, רבותי.	Good night, gentlemen.
אני בטוח שאני אישן טוב.	I'm sure I will.
כמה זמן היית שם בחוץ?	How long have you been out there?
לא בקול רם.	Shh. Not so loud.
כמה זמן היית שם בחוץ?	How long have you been out there?
עלייך.	You.
-ומה אתי ?	- What about me?
- כן, הוא כן.	- Yes, he did.
כן, הוא נהרג.	Yes, he was.
תקשיבי!	Listen!
